"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,NA,1.0585,0.72652,NA,0.37449,NA,NA,0.73597,0.96352,NA,NA,0.88372,0.82439,1.2414,NA,NA,NA,NA,NA,NA,NA,NA,0.8283,1.1715,NA,NA,NA,NA
"S_MS0006_02",1.0636,0.94895,1.006,0.93436,NA,NA,0.36463,NA,1.0229,1.1766,0.90065,NA,1.0103,NA,1.0269,0.79258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",0.95672,NA,NA,0.76273,0.85381,0.58745,NA,NA,0.9283,NA,NA,1.0967,0.97528,NA,1.0857,0.85616,NA,NA,NA,NA,NA,NA,NA,NA,0.76738,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74345,NA,NA,NA,NA,NA
"S_MS0009_01",NA,1.246,0.99659,0.71078,0.78037,NA,0.34782,0.16532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,1.2938,NA,NA,0.70268,0.53347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41921,NA,NA,NA,NA,NA,NA,NA,1.7146,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99138,0.78825,0.70022,NA,0.53344,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",1.3234,1.2664,1.0678,0.86202,0.96821,0.48387,NA,NA,1.1886,1.1476,0.99139,1.1911,1.2568,1.1544,1.0578,0.79424,1.0105,NA,0.65284,0.80639,0.52843,0.47181,NA,NA,0.63887,NA,1.5592,0.66889,2.6161,0.31692
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77823,1.1054,1.6315,0.57691,2.3761,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.1145733333333332,1.1887875,1.0234633333333334,0.865678,0.8063179999999999,0.53493,0.3623133333333333,0.16532,1.0466,1.0200566666666668,0.9518533333333333,1.1439,1.0807933333333333,1.01906,0.9986975,0.921095,0.9916433333333332,0.78825,0.5907566666666666,0.80639,0.5309349999999999,0.47181,NaN,NaN,0.7512459999999999,1.13845,1.6350999999999998,0.6229,2.4961,0.31692
"Min",0.95672,0.94895,0.99659,0.71078,0.70268,0.48387,0.34782,0.16532,0.9283,0.73597,0.90065,1.0967,0.97528,0.88372,0.82439,0.79258,0.97305,0.78825,0.41921,0.80639,0.52843,0.47181,NaN,NaN,0.63887,1.1054,1.5592,0.57691,2.3761,0.31692
"Q25",1.01016,1.1717374999999999,1.001295,0.76273,0.72652,0.50867,0.356225,0.16532,0.9756,0.941785,0.932085,1.1202999999999999,0.9927900000000001,0.95139,0.9762724999999999,0.793825,0.9822150000000001,0.78825,0.536025,0.80639,0.5296825,0.47181,NaN,NaN,0.74345,1.121925,1.5953499999999998,0.599905,2.4361,0.31692
"Q50",1.0636,1.2562,1.006,0.86202,0.78037,0.53347,0.36463,0.16532,1.0229,1.1476,0.96352,1.1439,1.0103,1.01906,1.0423499999999999,0.8251999999999999,0.99138,0.78825,0.65284,0.80639,0.5309349999999999,0.47181,NaN,NaN,0.76738,1.13845,1.6315,0.6229,2.4961,0.31692
