"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,0.97424,1.1033,1.0362,NA,1.3576,1.1475,0.98675,1.124,NA,NA,1.0132,NA,NA,1.1161,NA,NA,NA,NA,NA,NA,NA,NA,0.77911,1.0599,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1562,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94255,NA,NA,NA,NA,NA
"S_MS0009_01",2.2123,1.3283,1.2609,NA,1.7011,0.98738,1.1697,1.2287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,1.1524,1.0465,1.2307,0.99286,1.0484,NA,NA,NA,NA,NA,NA,NA,NA,1.2953,1.0161,1.2922,0.97364,NA,NA,NA,NA,NA,NA,NA,1.0951,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96484,NA,1.4936,NA,1.4175,NA,NA,1.3934,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0767,NA,NA,NA
"S_MS0021_01",1.492,1.1685,1.1332,NA,NA,1.6018,1.6434,NA,1.0512,NA,1.2563,NA,1.3809,1.0688,1.3218,1.2708,1.271,1.2305,1.2234,1.4578,1.628,1.5999,1.2475,1.4354,1.1312,NA,1.4432,0.99691,NA,0.79782
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2437,0.91176,1.5038,0.92468,0.96099,1.0618,1.2227,0.97054,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.85215,1.2484000000000002,1.12278,1.12785,1.2612666666666668,1.2732933333333334,1.2908899999999999,1.1415333333333333,1.018975,1.124,1.2563,NaN,1.19705,1.0688,1.3218,1.19345,1.1937099999999998,1.0527866666666668,1.37825,1.1187066666666665,1.3354966666666666,1.33085,1.2351,1.2664466666666667,1.002265,1.0599,1.25995,1.046005,NaN,0.79782
"Min",1.492,1.1685,0.97424,1.1033,1.0362,0.98738,0.99286,1.0484,0.98675,1.124,1.2563,NaN,1.0132,1.0688,1.3218,1.1161,0.96484,0.91176,1.2234,0.92468,0.96099,1.0618,1.2227,0.97054,0.77911,1.0599,1.0767,0.99691,NaN,0.79782
"Q25",1.672075,1.20845,1.05372,1.115575,1.04135,1.10904,1.12549,1.09795,1.0028625,1.124,1.2563,NaN,1.1051250000000001,1.0688,1.3218,1.1547749999999999,1.173985,0.96393,1.275,0.94916,1.189245,1.196325,1.2288999999999999,1.18197,0.9016900000000001,1.0599,1.168325,1.0214575,NaN,0.79782
"Q50",1.85215,1.2484000000000002,1.1332,1.12785,1.0465,1.2307,1.26365,1.1475,1.018975,1.124,1.2563,NaN,1.19705,1.0688,1.3218,1.19345,1.25735,1.0161,1.3929,0.97364,1.4175,1.33085,1.2351,1.3934,1.036875,1.0599,1.25995,1.046005,NaN,0.79782
"Q75",2.032225,1.28835,1.19705,1.140125,1.3738000000000001,1.4162499999999998,1.42905,1.1881,1.0350875,1.124,1.2563,NaN,1.288975,1.0688,1.3218,1.232125,1.277075,1.1233,1.49615,1.21572,1.5227499999999998,1.465375,1.2413,1.4144,1.13745,1.0599,1.351575,1.0705525,NaN,0.79782
"Max",2.2123,1.3283,1.2609,1.1524,1.7011,1.6018,1.6434,1.2287,1.0512,1.124,1.2563,NaN,1.3809,1.0688,1.3218,1.2708,1.2953,1.2305,1.5038,1.4578,1.628,1.5999,1.2475,1.4354,1.1562,1.0599,1.4432,1.0951,NaN,0.79782
"NAs",10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,12.0,10.0,11.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,11.0,10.0,10.0,12.0,11.0
"NA%",83.33,83.33,75.0,83.33,75.0,75.0,66.67,75.0,83.33,91.67,91.67,100.0,83.33,91.67,91.67,83.33,66.67,75.0,66.67,75.0,75.0,83.33,83.33,75.0,66.67,91.67,83.33,83.33,100.0,91.67
"unique",2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,0.0,1.0
"error",0.2546645072443351,0.05649783181680513,0.04787126393893428,0.017359471478129794,0.12698055115004964,0.1031388643923722,0.069555496607625,0.03009932323590114,0.022786516023736457,NaN,NaN,NaN,0.13000158172114673,NaN,NaN,0.05469470952477939,0.03850723665754269,0.05416869794481898,0.035488128883707955,0.09822733661898432,0.1136607989850763,0.19024707947824063,0.008768124086713245,0.08570723198665803,0.044178674554774346,NaN,0.12957731765243485,0.03471540742235355,NaN,NaN
