"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.96116,0.98256,1.108,1.1044,1.0217,1.1362,1.0402,0.92732,0.96932,0.74788,1.0052,1.0303,1.1173,1.1771,0.78908,1.1042,NA,NA,NA,NA,NA,NA,NA,NA,1.0127,0.76485,NA,NA,NA,NA
"S_MS0006_02",0.88113,1.0363,1.118,1.0578,0.98667,0.99367,1.0598,1.3027,0.98963,0.98871,0.92774,1.0126,1.0085,0.93671,0.93448,0.91888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3762,0.82722,NA,NA,NA,NA
"S_MS0008_01",1.0785,0.79725,0.78146,0.82531,0.96868,1.2954,NA,1.0422,1.1829,1.218,1.2297,0.82129,1.1296,0.8577,0.95008,1.2903,NA,NA,NA,NA,NA,NA,NA,NA,1.1415,0.81507,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2077,0.73896,NA,NA,NA,NA
"S_MS0009_01",0.92444,1.1708,1.0817,1.2272,1.1862,1.1564,0.92633,1.1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",1.0369,0.70295,0.75352,0.82716,1.0588,1.142,0.87678,1.1742,NA,NA,NA,NA,NA,NA,NA,NA,1.103,0.82397,1.024,0.90095,1.0381,0.78759,1.2331,0.78307,NA,NA,1.1312,0.97368,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88712,0.84332,0.93514,1.5576,1.023,0.83623,0.87781,1.291,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1532,0.68502,NA,NA
"S_MS0021_01",0.9801,1.2263,1.3365,1.1508,1.1466,1.2616,1.4518,1.0739,1.0073,1.1359,1.1571,1.3337,1.1714,1.0733,1.1125,1.2189,1.1213,1.4063,1.271,1.2897,1.0488,1.2106,1.0661,1.3673,1.2659,0.83734,1.0499,0.78402,0.85615,1.0563
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9093,1.1705,0.93806,1.1424,1.0494,0.99656,1.1727,0.93453,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.133,0.76399,1.1006,0.7409,0.75233,1.053
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.9770383333333333,0.9860266666666666,1.0298633333333334,1.0321116666666668,1.0614416666666666,1.1642116666666666,1.070982,1.1194866666666667,1.0372875,1.0226225,1.079935,1.0494725,1.1067,1.0112025,0.9465349999999999,1.13307,1.00518,1.0610225,1.04205,1.2226625000000002,1.039825,0.957745,1.0874275,1.093975,1.1895,0.7912383333333333,1.108725,0.795905,0.8042400000000001,1.05465
"Min",0.88113,0.70295,0.75352,0.82531,0.96868,0.99367,0.87678,0.92732,0.96932,0.74788,0.92774,0.82129,1.0085,0.8577,0.78908,0.91888,0.88712,0.82397,0.93514,0.90095,1.023,0.78759,0.87781,0.78307,1.0127,0.73896,1.0499,0.68502,0.75233,1.053
"Q25",0.93362,0.8435775,0.8565200000000001,0.8848199999999999,0.9954275,1.13765,0.92633,1.050125,0.9845524999999999,0.9285024999999999,0.985835,0.9647724999999999,1.0900999999999998,0.9169575,0.8981300000000001,1.05787,0.903755,0.8384825,0.93733,1.0820375,1.034325,0.8240700000000001,1.0190275,0.8966649999999999,1.135125,0.764205,1.087925,0.7269300000000001,0.778285,1.053825
"Q50",0.97063,1.00943,1.09485,1.0811000000000002,1.04025,1.1492,1.0402,1.12405,0.998465,1.0623049999999998,1.08115,1.02145,1.12345,1.005005,0.94228,1.16155,1.0061499999999999,1.00691,0.9810300000000001,1.21605,1.04345,0.9163950000000001,1.1194000000000002,1.112765,1.1745999999999999,0.78996,1.1159,0.76246,0.8042400000000001,1.05465
"Q75",1.0227,1.137175,1.1155,1.1392,1.12465,1.2353,1.0598,1.191,1.0512000000000001,1.156425,1.1752500000000001,1.10615,1.14005,1.09925,0.990685,1.23675,1.107575,1.2294500000000002,1.08575,1.356675,1.04895,1.0500699999999998,1.1878000000000002,1.3100749999999999,1.25135,0.8241824999999999,1.1367,0.831435,0.830195,1.055475
"Max",1.0785,1.2263,1.3365,1.2272,1.1862,1.2954,1.4518,1.3027,1.1829,1.218,1.2297,1.3337,1.1714,1.1771,1.1125,1.2903,1.1213,1.4063,1.271,1.5576,1.0494,1.2106,1.2331,1.3673,1.3762,0.83734,1.1532,0.97368,0.85615,1.0563
"NAs",6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,10.0,10.0
"NA%",50.0,50.0,50.0,50.0,50.0,50.0,58.33,50.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50.0,50.0,66.67,66.67,83.33,83.33
"unique",6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,2.0,2.0
"error",0.012042604296444383,0.034171212245050604,0.03716751493302043,0.028166566753603208,0.014643635493379464,0.017813596567936112,0.04524749006077575,0.022046231894379154,0.02457686440664269,0.05156663538467322,0.03450019042821841,0.05295038776121004,0.0173602155324562,0.035499480652010945,0.033070111222219985,0.04051720179956492,0.031018725795880133,0.06993898252450133,0.03952519586710903,0.06871107335475483,0.003089928194958596,0.047688414582754426,0.03896746374514471,0.0700609902900085,0.020787226312757028,0.00673293409845025,0.011189231709550027,0.03131368081605866,0.03670591301139365,0.001166726188957832
