"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,3.1563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",NA,3.1899,1.4143,4.7058,NA,0.79991,NA,0.73583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",0.96818,0.59402,0.42842,NA,0.52175,NA,NA,0.2978,NA,NA,NA,NA,NA,NA,NA,NA,1.127,1.4969,1.4778,1.1249,1.0447,1.2215,1.0769,0.52872,NA,NA,NA,NA,NA,NA
"P_MS0019_01",0.82001,NA,NA,NA,0.57621,0.69089,0.40086,0.47016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4547,NA,NA,NA,NA,NA
"P_MS0021_01",0.92796,1.8073,1.293,1.5407,2.7647,0.90165,0.97251,0.77801,NA,NA,NA,0.97604,1.2103,NA,NA,NA,NA,NA,NA,0.90889,NA,0.7711,0.71723,0.78081,NA,0.59709,NA,0.62753,0.51379,1.5475
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.9053833333333334,1.86374,1.04524,3.12325,1.2875533333333333,0.7974833333333334,1.5098899999999997,0.57045,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,1.0168949999999999,1.0447,0.9963,0.897065,0.654765,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"Min",0.82001,0.59402,0.42842,1.5407,0.52175,0.69089,0.40086,0.2978,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,0.90889,1.0447,0.7711,0.71723,0.52872,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"Q25",0.873985,1.20066,0.86071,2.331975,0.54898,0.7454000000000001,0.686685,0.42707000000000006,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,0.9628924999999999,1.0447,0.8836999999999999,0.8071475000000001,0.5917425000000001,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"Q50",0.92796,1.8073,1.293,3.12325,0.57621,0.79991,0.97251,0.602995,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,1.0168949999999999,1.0447,0.9963,0.897065,0.654765,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"Q75",0.94807,2.4986,1.35365,3.914525,1.670455,0.85078,2.064405,0.746375,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,1.0708975,1.0447,1.1089,0.9869824999999999,0.7177875,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"Max",0.96818,3.1899,1.4143,4.7058,2.7647,0.90165,3.1563,0.77801,NaN,NaN,NaN,0.97604,1.2103,NaN,NaN,NaN,1.127,1.4969,1.4778,1.1249,1.0447,1.2215,1.0769,0.78081,1.4547,0.59709,NaN,0.62753,0.51379,1.5475
"NAs",2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0
"NA%",40.0,40.0,40.0,60.0,40.0,40.0,40.0,20.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,80.0,80.0,80.0,60.0,80.0,60.0,60.0,60.0,80.0,80.0,100.0,80.0,80.0,80.0
"unique",3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0
"error",0.02554052690949846,0.43295333964656185,0.17920460274346872,1.1190318365667709,0.4265121046912363,0.03513365106329025,0.48473307049688,0.056794183350938325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07637106790205307,NaN,0.1592404471232105,0.12716254799468274,0.0891272742346584,NaN,NaN,NaN,NaN,NaN,NaN
