"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",NA,0.81979,0.70778,0.56747,0.26093,0.48577,NA,0.59065,NA,NA,NA,NA,NA,NA,NA,NA,0.98489,0.88655,NA,1.2703,NA,0.9418,NA,NA,NA,NA,2.3626,NA,NA,NA
"P_MS0019_01",1.377,NA,1.2162,1.2429,NA,NA,0.87198,0.88202,0.91494,NA,NA,1.5076,NA,1.5421,1.1597,1.047,NA,NA,NA,NA,NA,NA,NA,NA,1.3684,0.70961,NA,NA,NA,NA
"P_MS0021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",1.377,0.81979,0.9619899999999999,0.9051849999999999,0.26093,0.48577,0.87198,0.736335,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"Min",1.377,0.81979,0.70778,0.56747,0.26093,0.48577,0.87198,0.59065,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"Q25",1.377,0.81979,0.8348849999999999,0.7363275,0.26093,0.48577,0.87198,0.6634925,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"Q50",1.377,0.81979,0.9619899999999999,0.9051849999999999,0.26093,0.48577,0.87198,0.736335,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"Q75",1.377,0.81979,1.089095,1.0740425,0.26093,0.48577,0.87198,0.8091775000000001,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"Max",1.377,0.81979,1.2162,1.2429,0.26093,0.48577,0.87198,0.88202,0.91494,NaN,NaN,1.5076,NaN,1.5421,1.1597,1.047,0.98489,0.88655,NaN,1.2703,NaN,0.9418,NaN,NaN,1.3684,0.70961,2.3626,NaN,NaN,NaN
"NAs",4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0
"NA%",80.0,80.0,60.0,60.0,80.0,80.0,80.0,60.0,80.0,100.0,100.0,80.0,100.0,80.0,80.0,80.0,80.0,80.0,100.0,80.0,100.0,80.0,100.0,100.0,80.0,80.0,80.0,100.0,100.0,100.0
"unique",1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
"error",NaN,NaN,0.17975361484543226,0.23880056660841484,NaN,NaN,NaN,0.10301485141716218,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
