"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",1.0446,1.1609,NA,1.5571,1.1672,1.2167,1.3166,0.87132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",1.0739,1.2281,NA,NA,NA,NA,NA,1.0587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",1.0658,NA,NA,NA,0.85274,NA,0.94436,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98969,NA,1.2374,1.0039,1.2762,1.4219,1.0925,1.247,NA,NA,1.8507,NA,NA,NA
"P_MS0019_01",NA,NA,1.4941,NA,1.135,1.0209,NA,1.1603,NA,0.90273,0.97014,1.2278,0.74284,NA,NA,0.90722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0021_01",NA,1.0659,NA,NA,NA,0.92532,NA,1.0516,1.1791,1.1227,NA,NA,NA,0.97285,NA,NA,NA,NA,0.9724,NA,1.2272,1.1005,NA,1.0366,NA,NA,1.1611,0.93354,0.99789,0.96702
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",1.0614333333333335,1.1516333333333335,1.4941,1.5571,1.0516466666666666,1.0543066666666665,1.13048,1.0354800000000002,1.1791,1.012715,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,1.1049,1.0039,1.2517,1.2612,1.0925,1.1418,NaN,NaN,1.5059,0.93354,0.99789,0.96702
"Min",1.0446,1.0659,1.4941,1.5571,0.85274,0.92532,0.94436,0.87132,1.1791,0.90273,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,0.9724,1.0039,1.2272,1.1005,1.0925,1.0366,NaN,NaN,1.1611,0.93354,0.99789,0.96702
"Q25",1.0552000000000001,1.1134,1.4941,1.5571,0.99387,0.9731099999999999,1.03742,1.0065300000000001,1.1791,0.9577225,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,1.03865,1.0039,1.2394500000000002,1.18085,1.0925,1.0892,NaN,NaN,1.3335,0.93354,0.99789,0.96702
"Q50",1.0658,1.1609,1.4941,1.5571,1.135,1.0209,1.13048,1.05515,1.1791,1.012715,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,1.1049,1.0039,1.2517,1.2612,1.0925,1.1418,NaN,NaN,1.5059,0.93354,0.99789,0.96702
"Q75",1.0698500000000002,1.1945000000000001,1.4941,1.5571,1.1511,1.1187999999999998,1.2235399999999998,1.0841,1.1791,1.0677075,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,1.1711500000000001,1.0039,1.26395,1.34155,1.0925,1.1944000000000001,NaN,NaN,1.6783000000000001,0.93354,0.99789,0.96702
"Max",1.0739,1.2281,1.4941,1.5571,1.1672,1.2167,1.3166,1.1603,1.1791,1.1227,0.97014,1.2278,0.74284,0.97285,NaN,0.90722,0.98969,NaN,1.2374,1.0039,1.2762,1.4219,1.0925,1.247,NaN,NaN,1.8507,0.93354,0.99789,0.96702
"NAs",2.0,2.0,4.0,4.0,2.0,2.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0
"NA%",40.0,40.0,80.0,80.0,40.0,40.0,60.0,20.0,80.0,60.0,80.0,80.0,80.0,80.0,100.0,80.0,80.0,100.0,60.0,80.0,60.0,60.0,80.0,60.0,100.0,100.0,60.0,80.0,80.0,80.0
"unique",3.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
"error",0.005043404200133688,0.027165364658642745,NaN,NaN,0.05766965939568929,0.04951159250713504,0.13160671411444025,0.03004425929635589,NaN,0.07777113932880243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09369164850721755,NaN,0.01732411613907039,0.11363205973667816,NaN,0.07438763338082485,NaN,NaN,0.24381041815312157,NaN,NaN,NaN
