"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",0.85365,0.94394,NA,0.87769,NA,1.0206,NA,1.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",1.1289,0.82349,NA,0.97048,0.85491,1.1321,0.95296,1.0064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",0.9131,NA,0.98279,1.0683,0.97731,0.7899,0.77127,0.87804,NA,NA,NA,NA,NA,NA,NA,NA,0.94436,0.93201,0.9724,0.88602,NA,0.96845,0.8402,0.8415,NA,NA,NA,0.96228,NA,NA
"P_MS0019_01",0.83892,0.89478,0.96453,0.94166,0.78702,1.0769,0.90326,0.88923,0.79981,1.4374,0.869,NA,0.9513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0021_01",0.92528,0.82364,0.82412,1.0039,0.72369,0.83146,0.88542,1.1514,0.98084,0.78492,0.80609,0.83055,0.90552,0.81275,0.79268,NA,0.95243,NA,0.82423,0.9158,NA,NA,NA,0.96006,1.5191,0.57368,NA,0.54318,NA,NA
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.93197,0.8714625,0.9238133333333334,0.9724060000000001,0.8357325,0.9701920000000002,0.8782274999999999,1.025274,0.890325,1.11116,0.837545,0.83055,0.92841,0.81275,0.79268,NaN,0.948395,0.93201,0.898315,0.90091,NaN,0.96845,0.8402,0.90078,1.5191,0.57368,NaN,0.75273,NaN,NaN
"Min",0.83892,0.82349,0.82412,0.87769,0.72369,0.7899,0.77127,0.87804,0.79981,0.78492,0.80609,0.83055,0.90552,0.81275,0.79268,NaN,0.94436,0.93201,0.82423,0.88602,NaN,0.96845,0.8402,0.8415,1.5191,0.57368,NaN,0.54318,NaN,NaN
"Q25",0.85365,0.8236025,0.894325,0.94166,0.7711875,0.83146,0.8568825,0.88923,0.8450675000000001,0.94804,0.8218174999999999,0.83055,0.916965,0.81275,0.79268,NaN,0.9463775,0.93201,0.8612725,0.893465,NaN,0.96845,0.8402,0.87114,1.5191,0.57368,NaN,0.6479550000000001,NaN,NaN
"Q50",0.9131,0.85921,0.96453,0.97048,0.820965,1.0206,0.8943399999999999,1.0064,0.890325,1.11116,0.837545,0.83055,0.92841,0.81275,0.79268,NaN,0.948395,0.93201,0.898315,0.90091,NaN,0.96845,0.8402,0.90078,1.5191,0.57368,NaN,0.75273,NaN,NaN
"Q75",0.92528,0.90707,0.97366,1.0039,0.88551,1.0769,0.915685,1.1514,0.9355825,1.2742799999999999,0.8532725000000001,0.83055,0.9398550000000001,0.81275,0.79268,NaN,0.9504125,0.93201,0.9353575000000001,0.908355,NaN,0.96845,0.8402,0.93042,1.5191,0.57368,NaN,0.8575050000000001,NaN,NaN
"Max",1.1289,0.94394,0.98279,1.0683,0.97731,1.1321,0.95296,1.2013,0.98084,1.4374,0.869,0.83055,0.9513,0.81275,0.79268,NaN,0.95243,0.93201,0.9724,0.9158,NaN,0.96845,0.8402,0.96006,1.5191,0.57368,NaN,0.96228,NaN,NaN
"NAs",0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0
"NA%",0.0,20.0,40.0,0.0,20.0,0.0,20.0,0.0,60.0,60.0,60.0,80.0,60.0,80.0,80.0,100.0,60.0,80.0,60.0,60.0,100.0,80.0,80.0,60.0,80.0,80.0,100.0,60.0,100.0,100.0
"unique",5.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
"error",0.023232430522870395,0.014709015145906263,0.028939452949857877,0.014180154413827802,0.02713331073721929,0.03031394683639859,0.019204606367462122,0.029569404647371584,0.06400377029910036,0.2306865162942993,0.02224204380222286,NaN,0.016185674221360087,NaN,NaN,NaN,0.0028531758620877266,NaN,0.05238600588420538,0.010528819971867664,NaN,NaN,NaN,0.04191728998873854,NaN,NaN,NaN,0.14817422599764105,NaN,NaN
