"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,1.2586,NA,NA,NA,0.93247,NA,NA,1.0616,1.2805,NA,NA,NA,NA,0.75966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",0.90821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",0.80373,NA,NA,NA,0.90958,0.87631,NA,NA,NA,NA,0.89323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95355,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,0.91071,NA,0.45838,0.90902,1.1549,0.68363,0.40193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",1.0541,1.0196,NA,NA,0.7358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2052,NA,NA,NA,0.96542,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4055,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",NA,NA,NA,NA,NA,NA,1.1072,1.3632,NA,NA,NA,NA,NA,NA,NA,NA,0.84847,NA,1.3117,NA,NA,1.3557,NA,NA,NA,NA,0.85509,NA,0.96854,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77052,NA,0.68849,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.9220133333333335,1.06297,NaN,0.45838,0.8514666666666667,0.9878933333333334,0.895415,0.882565,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,1.141425,NaN,NaN,1.3557,1.2052,1.4055,0.862035,NaN,0.8363333333333335,NaN,0.96854,NaN
"Min",0.80373,0.91071,NaN,0.45838,0.7358,0.87631,0.68363,0.40193,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,0.97115,NaN,NaN,1.3557,1.2052,1.4055,0.77052,NaN,0.68849,NaN,0.96854,NaN
"Q25",0.85597,0.965155,NaN,0.45838,0.8224100000000001,0.90439,0.7895224999999999,0.6422475,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,1.0562875,NaN,NaN,1.3557,1.2052,1.4055,0.8162775,NaN,0.77179,NaN,0.96854,NaN
"Q50",0.90821,1.0196,NaN,0.45838,0.90902,0.93247,0.895415,0.882565,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,1.141425,NaN,NaN,1.3557,1.2052,1.4055,0.862035,NaN,0.85509,NaN,0.96854,NaN
"Q75",0.981155,1.1391,NaN,0.45838,0.9093,1.043685,1.0013075,1.1228825,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,1.2265625,NaN,NaN,1.3557,1.2052,1.4055,0.9077925,NaN,0.910255,NaN,0.96854,NaN
"Max",1.0541,1.2586,NaN,0.45838,0.90958,1.1549,1.1072,1.3632,1.0616,1.2805,0.89323,NaN,NaN,NaN,0.75966,NaN,0.84847,NaN,1.3117,NaN,NaN,1.3557,1.2052,1.4055,0.95355,NaN,0.96542,NaN,0.96854,NaN
"NAs",9.0,9.0,12.0,11.0,9.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,12.0,12.0,11.0,11.0,11.0,10.0,12.0,9.0,12.0,11.0,12.0
"NA%",75.0,75.0,100.0,91.67,75.0,75.0,83.33,83.33,91.67,91.67,91.67,100.0,100.0,100.0,91.67,100.0,91.67,100.0,83.33,100.0,100.0,91.67,91.67,91.67,83.33,100.0,75.0,100.0,91.67,100.0
"unique",3.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0
"error",0.041918152039067395,0.05931795746464789,NaN,NaN,0.03339022101243506,0.04911087957461761,0.14975460965359297,0.33986026777559625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.12040260716653943,NaN,NaN,NaN,NaN,NaN,0.0647108770802869,NaN,0.04647151532968379,NaN,NaN,NaN
