"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.0016,0.94224,1.0697,1.1157,1.0885,0.99395,0.9218,1.0381,1.0984,0.92639,1.0099,0.96419,0.97417,0.98978,1.1142,1.0194,NA,NA,NA,NA,NA,NA,NA,NA,0.91483,1.1384,NA,NA,NA,NA
"S_MS0006_02",0.91511,0.6995,0.86356,1.0882,1.0017,1.0129,0.71307,0.71316,0.91002,0.88325,0.77981,0.75884,1.0099,1.0026,1.0933,0.96253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1376,1.3625,NA,NA,NA,NA
"S_MS0008_01",0.89818,0.94351,0.9453,0.90217,0.96504,0.88364,NA,0.96889,0.93771,0.97246,1.0241,0.86363,0.98058,0.83941,0.9145,0.94554,NA,NA,NA,NA,NA,NA,NA,NA,0.9599,0.95111,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89912,0.983,NA,NA,NA,NA
"S_MS0009_01",1.008,0.96401,0.81601,0.92273,0.94109,0.80683,0.85478,0.98812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.90532,1.016,1.0529,1.0281,0.88037,1.105,1.0024,0.94105,NA,NA,NA,NA,NA,NA,NA,NA,0.94517,0.93305,1.0483,1.02,1.3233,0.88145,0.99082,0.90048,NA,NA,0.99955,0.93537,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93958,0.7424,1.0639,0.89273,1.0274,0.80871,0.82894,0.72651,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0181,0.80624,NA,NA
"S_MS0021_01",0.98616,0.93622,0.89455,0.8323,0.8796,0.92745,0.95349,0.8735,0.97165,0.93904,0.97399,1.0666,0.98523,0.87568,0.87038,0.93873,0.91765,0.90341,0.876,0.96103,1.0012,0.89519,0.94821,0.85859,0.99358,0.95976,0.9604,0.85611,1.0418,0.80549
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93093,0.93641,0.94254,0.778,0.74684,0.84624,0.98108,0.86141,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96736,0.83028,0.84585,0.82807,0.95467,0.84348
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.952395,0.9169133333333335,0.9403366666666666,0.9815333333333335,0.9593833333333334,0.9549616666666667,0.8891079999999999,0.92047,0.979445,0.9302849999999999,0.9469500000000001,0.9133150000000001,0.98747,0.9268675,0.998095,0.9665500000000001,0.9333325,0.8788175,0.982685,0.91294,1.0246849999999998,0.8578975,0.9372625,0.8367475,0.9787316666666667,1.0375083333333335,0.955975,0.8564475,0.998235,0.824485
"Min",0.89818,0.6995,0.81601,0.8323,0.8796,0.80683,0.71307,0.71316,0.91002,0.88325,0.77981,0.75884,0.97417,0.83941,0.87038,0.93873,0.91765,0.7424,0.876,0.778,0.74684,0.80871,0.82894,0.72651,0.89912,0.83028,0.84585,0.80624,0.95467,0.80549
"Q25",0.9077675,0.937725,0.8713074999999999,0.9073100000000001,0.89555,0.8945925,0.85478,0.8903875000000001,0.9307875000000001,0.915605,0.925445,0.8374325,0.9789775000000001,0.8666125,0.90347,0.9438375,0.92761,0.8631575,0.925905,0.8640475,0.93761,0.8368575,0.9183925,0.8255699999999999,0.9260975,0.9532725,0.9317625,0.8226125,0.9764525,0.8149875000000001
"Q50",0.950635,0.9428749999999999,0.919925,0.975415,0.953065,0.9607,0.9218,0.9549700000000001,0.95468,0.932715,0.9919450000000001,0.91391,0.982905,0.9327300000000001,1.0039,0.954035,0.935255,0.9182300000000001,0.99542,0.92688,1.0143,0.863845,0.964645,0.86,0.96363,0.9713799999999999,0.979975,0.84209,0.998235,0.824485
"Q75",0.9977400000000001,0.958885,1.0259999999999998,1.073175,0.9925350000000001,1.0081624999999999,0.95349,0.9833125,1.0033375,0.947395,1.01345,0.9897925000000001,0.9913975,0.992985,1.098525,0.9767475,0.9409775,0.93389,1.0522,0.9757725,1.101375,0.8848849999999999,0.9835149999999999,0.8711774999999999,0.987025,1.09955,1.0041875,0.8759250000000001,1.0200175,0.8339825000000001
"Max",1.008,1.016,1.0697,1.1157,1.0885,1.105,1.0024,1.0381,1.0984,0.97246,1.0241,1.0666,1.0099,1.0026,1.1142,1.0194,0.94517,0.93641,1.0639,1.02,1.3233,0.89519,0.99082,0.90048,1.1376,1.3625,1.0181,0.93537,1.0418,0.84348
"NAs",6.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,8.0,10.0,10.0
"NA%",50.0,50.0,50.0,50.0,50.0,50.0,58.33,50.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50.0,50.0,66.67,66.67,83.33,83.33
"unique",6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,2.0,2.0
"error",0.008563039553154532,0.018412916832927267,0.01713965611824963,0.018793303348287136,0.013215509603268201,0.017507951317954126,0.022409077419652954,0.01920141620934363,0.020802992022383063,0.009222755937534797,0.028351133942636813,0.03304532294818739,0.0039064172630856216,0.020393201826323558,0.03090429052602028,0.009156800068801338,0.0029960754712067346,0.02303646813342923,0.02231148559785595,0.02597744991654621,0.05897168789272244,0.009683274105168834,0.01862010051608655,0.018984353028107994,0.014213649012155204,0.031200331878873538,0.019313958952443356,0.014108914495068956,0.030805106922391957,0.01343149330863846
