"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",0.7089,0.7049,NA,NA,0.73548,0.77929,NA,NA,0.81813,0.67929,NA,NA,NA,0.65612,NA,0.77867,NA,NA,NA,NA,NA,NA,NA,NA,0.92381,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65009,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,0.91042,NA,0.7345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,0.74292,0.72504,0.85651,NA,0.95542,NA,0.7233,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0369,NA,0.91099,0.73419,NA,NA,NA,NA,NA,NA,0.86216,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,0.84492,0.81805,0.72942,0.79615,0.65081,0.87158,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0034,NA,NA,NA
"S_MS0021_01",NA,NA,0.7493,0.70752,0.77235,NA,0.79754,NA,NA,NA,NA,NA,NA,0.85474,NA,NA,NA,0.77038,0.79758,NA,0.83102,NA,NA,0.71809,NA,0.80413,1.1122,NA,NA,0.92134
