"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",NA,0.84968,0.66153,NA,NA,NA,NA,NA,1.4433,NA,NA,NA,NA,0.73428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",0.97591,0.89184,1.127,0.93778,NA,1.0634,1.0598,1.2548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,1.3439,1.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2361,1.2085,NA,NA,NA,NA,NA,1.4851,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",NA,NA,NA,1.6427,0.97872,NA,NA,NA,NA,0.89299,0.70539,0.78062,1.252,1.0075,NA,NA,NA,NA,0.89161,NA,NA,1.3467,NA,0.8979,NA,NA,1.0136,0.81581,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.97591,0.87076,0.894265,1.29024,0.97872,1.0634,1.20185,1.1429,1.4433,0.89299,0.70539,0.78062,1.252,0.87089,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.2493500000000002,0.81581,NaN,NaN
"Min",0.97591,0.84968,0.66153,0.93778,0.97872,1.0634,1.0598,1.031,1.4433,0.89299,0.70539,0.78062,1.252,0.73428,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.0136,0.81581,NaN,NaN
"Q25",0.97591,0.86022,0.7778974999999999,1.11401,0.97872,1.0634,1.1308250000000002,1.0869499999999999,1.4433,0.89299,0.70539,0.78062,1.252,0.8025850000000001,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.131475,0.81581,NaN,NaN
"Q50",0.97591,0.87076,0.894265,1.29024,0.97872,1.0634,1.20185,1.1429,1.4433,0.89299,0.70539,0.78062,1.252,0.87089,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.2493500000000002,0.81581,NaN,NaN
"Q75",0.97591,0.8813,1.0106325,1.4664700000000002,0.97872,1.0634,1.2728750000000002,1.19885,1.4433,0.89299,0.70539,0.78062,1.252,0.939195,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.3672250000000001,0.81581,NaN,NaN
"Max",0.97591,0.89184,1.127,1.6427,0.97872,1.0634,1.3439,1.2548,1.4433,0.89299,0.70539,0.78062,1.252,1.0075,NaN,NaN,NaN,NaN,0.89161,1.2361,1.2085,1.3467,NaN,0.8979,NaN,NaN,1.4851,0.81581,NaN,NaN
"NAs",11.0,10.0,10.0,10.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,10.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,11.0,12.0,12.0
"NA%",91.67,83.33,83.33,83.33,91.67,91.67,83.33,83.33,91.67,91.67,91.67,91.67,91.67,83.33,100.0,100.0,100.0,100.0,91.67,91.67,91.67,91.67,100.0,91.67,100.0,100.0,83.33,91.67,100.0,100.0
"unique",1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
"error",NaN,0.014905810947412413,0.16456849671945115,0.24922685609701056,NaN,NaN,0.10044451826754908,0.07912524881477466,NaN,NaN,NaN,NaN,NaN,0.09659785737789427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1667004236647286,NaN,NaN,NaN
