"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",0.90393,0.77775,0.82005,0.90492,0.98856,0.88123,0.68577,0.80355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",1.0374,0.88446,0.87452,0.94954,0.77104,0.76979,0.71208,0.85317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",1.0501,0.8908,1.2007,0.80726,0.72878,0.74183,0.86629,0.92292,NA,NA,NA,NA,NA,NA,NA,NA,1.1421,0.68321,0.40675,0.89509,0.85076,0.87119,0.90018,0.96991,NA,NA,1.0845,1.0569,NA,NA
"P_MS0019_01",0.90253,0.7429,1.044,0.7151,1.056,0.45065,0.88614,0.80766,1.0345,0.93426,0.95329,1.2767,1.2718,1.1086,1.0139,0.54672,NA,NA,NA,NA,NA,NA,NA,NA,0.77104,0.76757,NA,NA,NA,NA
"P_MS0021_01",0.68344,0.66673,1.277,1.1434,0.76418,0.82448,1.1113,1.0304,0.78074,1.4571,2.1227,0.72052,1.2765,1.2207,0.68549,0.82582,0.85672,1.2186,1.3258,1.6445,1.3744,1.2916,1.1598,1.0634,1.0077,0.68066,0.92374,1.0519,0.80895,1.3286
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.9154800000000002,0.7925280000000001,1.043254,0.9040440000000001,0.861712,0.733596,0.8523160000000001,0.88354,0.90762,1.19568,1.537995,0.99861,1.2741500000000001,1.16465,0.8496950000000001,0.6862699999999999,0.9994099999999999,0.9509049999999999,0.866275,1.269795,1.11258,1.081395,1.02999,1.016655,0.88937,0.7241150000000001,1.00412,1.0544,0.80895,1.3286
"Min",0.68344,0.66673,0.82005,0.7151,0.72878,0.45065,0.68577,0.80355,0.78074,0.93426,0.95329,0.72052,1.2718,1.1086,0.68549,0.54672,0.85672,0.68321,0.40675,0.89509,0.85076,0.87119,0.90018,0.96991,0.77104,0.68066,0.92374,1.0519,0.80895,1.3286
"Q25",0.90253,0.7429,0.87452,0.80726,0.76418,0.74183,0.71208,0.80766,0.84418,1.06497,1.2456425,0.859565,1.2729750000000002,1.136625,0.7675925,0.616495,0.9280649999999999,0.8170575,0.6365125,1.0824425,0.9816699999999999,0.9762925,0.965085,0.9932825000000001,0.8302049999999999,0.7023875,0.96393,1.05315,0.80895,1.3286
"Q50",0.90393,0.77775,1.044,0.90492,0.77104,0.76979,0.86629,0.85317,0.90762,1.19568,1.537995,0.99861,1.2741500000000001,1.16465,0.8496950000000001,0.6862699999999999,0.9994099999999999,0.9509049999999999,0.866275,1.269795,1.11258,1.081395,1.02999,1.016655,0.88937,0.7241150000000001,1.00412,1.0544,0.80895,1.3286
"Q75",1.0374,0.88446,1.2007,0.94954,0.98856,0.82448,0.88614,0.92292,0.97106,1.32639,1.8303475,1.137655,1.275325,1.192675,0.9317975000000001,0.756045,1.070755,1.0847525,1.0960375,1.4571475,1.2434900000000002,1.1864975000000002,1.094895,1.0400274999999999,0.9485350000000001,0.7458425,1.0443099999999998,1.05565,0.80895,1.3286
"Max",1.0501,0.8908,1.277,1.1434,1.056,0.88123,1.1113,1.0304,1.0345,1.4571,2.1227,1.2767,1.2765,1.2207,1.0139,0.82582,1.1421,1.2186,1.3258,1.6445,1.3744,1.2916,1.1598,1.0634,1.0077,0.76757,1.0845,1.0569,0.80895,1.3286
"NAs",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
"NA%",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0
"unique",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
"error",0.029517909377189976,0.01913513602773704,0.039713748289477796,0.03231546470654569,0.029873577167791616,0.033390409209831495,0.03403171369766735,0.019025550031470835,0.08971770839694915,0.18485185473778729,0.4134488704936803,0.19663932478016696,0.0016617009357883608,0.03963333508550594,0.11611046900473702,0.09867675131458271,0.10089706660750841,0.18928894978973282,0.3249332436247483,0.26495644644450533,0.18513469745026193,0.14863738093931825,0.09178953126582573,0.03305370648656511,0.0836719454178042,0.030727325176461397,0.0568372430717747,0.001767766952966331,NaN,NaN
