"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.94878,1.0882,0.97982,0.95692,0.87675,0.88789,0.91601,0.89623,0.94119,0.941,1.0103,1.0669,0.78851,0.91575,0.96852,0.93083,NA,NA,NA,NA,NA,NA,NA,NA,0.68329,1.0477,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0776,NA,NA,NA,NA
"S_MS0008_01",1.4179,1.8484,1.1718,1.5119,2.5712,2.308,NA,NA,NA,0.97101,NA,1.3457,0.86586,1.387,NA,2.0508,NA,NA,NA,NA,NA,NA,NA,NA,1.155,1.5047,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86021,1.1129,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78179,NA,NA,NA,0.74201,NA,0.66861,0.83381,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68566,NA,NA,NA
"S_MS0021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65072,0.78541,0.82186,0.79677,0.83061,0.83147,1.1201,0.68909,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87277,NA,0.98986,1.2199,1.0671,0.78739
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.1833399999999998,1.4683000000000002,1.07581,1.23441,1.723975,1.597945,0.91601,0.89623,0.94119,0.956005,1.0103,1.2063,0.8271850000000001,1.151375,0.96852,1.490815,0.716255,0.78541,0.82186,0.79677,0.78631,0.83147,0.894355,0.76145,0.8928175,1.185725,0.8377600000000001,1.2199,1.0671,0.78739
"Min",0.94878,1.0882,0.97982,0.95692,0.87675,0.88789,0.91601,0.89623,0.94119,0.941,1.0103,1.0669,0.78851,0.91575,0.96852,0.93083,0.65072,0.78541,0.82186,0.79677,0.74201,0.83147,0.66861,0.68909,0.68329,1.0477,0.68566,1.2199,1.0671,0.78739
"Q25",1.0660599999999998,1.27825,1.027815,1.095665,1.3003625,1.2429175,0.91601,0.89623,0.94119,0.9485025,1.0103,1.1366,0.8078475,1.0335625,0.96852,1.2108225,0.6834875,0.78541,0.82186,0.79677,0.76416,0.83147,0.7814825000000001,0.72527,0.81598,1.070125,0.7617100000000001,1.2199,1.0671,0.78739
"Q50",1.1833399999999998,1.4683000000000002,1.07581,1.23441,1.723975,1.597945,0.91601,0.89623,0.94119,0.956005,1.0103,1.2063,0.8271850000000001,1.151375,0.96852,1.490815,0.716255,0.78541,0.82186,0.79677,0.78631,0.83147,0.894355,0.76145,0.86649,1.09525,0.8377600000000001,1.2199,1.0671,0.78739
"Q75",1.30062,1.65835,1.123805,1.3731550000000001,2.1475875,1.9529724999999998,0.91601,0.89623,0.94119,0.9635075,1.0103,1.2759999999999998,0.8465225,1.2691875,0.96852,1.7708075,0.7490224999999999,0.78541,0.82186,0.79677,0.80846,0.83147,1.0072275000000002,0.7976300000000001,0.9433275000000001,1.21085,0.9138099999999999,1.2199,1.0671,0.78739
"Max",1.4179,1.8484,1.1718,1.5119,2.5712,2.308,0.91601,0.89623,0.94119,0.97101,1.0103,1.3457,0.86586,1.387,0.96852,2.0508,0.78179,0.78541,0.82186,0.79677,0.83061,0.83147,1.1201,0.83381,1.155,1.5047,0.98986,1.2199,1.0671,0.78739
"NAs",10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,10.0,11.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,11.0
"NA%",83.33,83.33,83.33,83.33,83.33,83.33,91.67,91.67,91.67,83.33,91.67,83.33,83.33,83.33,91.67,83.33,83.33,91.67,91.67,91.67,83.33,91.67,83.33,83.33,66.67,66.67,83.33,91.67,91.67,91.67
"unique",2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0
"error",0.16585896659511656,0.2687712875290067,0.06787517992609668,0.19621506071145509,0.5990785426907728,0.502084705515414,NaN,NaN,NaN,0.010610137251704179,NaN,0.0985706852974047,0.027347354762389694,0.1666120353170803,NaN,0.39596919086274884,0.0463402429050604,NaN,NaN,NaN,0.03132483040656406,NaN,0.1596258203189572,0.051166246686658604,0.048756749078760035,0.05357830085880538,0.10755094141847385,NaN,NaN,NaN
