"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.4093,1.2352,1.6407,1.4344,1.2703,1.2521,1.0862,0.99241,1.512,1.3602,1.1694,1.4119,1.4746,1.0536,1.6482,1.2282,NA,NA,NA,NA,NA,NA,NA,NA,1.4823,1.1994,NA,NA,NA,NA
"S_MS0006_02",1.3694,1.4236,1.573,1.3511,NA,1.2974,1.1687,0.95428,1.3781,1.4047,1.2225,1.3542,1.333,1.2642,NA,1.1365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,5.4394,NA,NA,NA,5.8109,6.6085,NA,NA,5.3944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",4.6214,NA,NA,4.2857,2.755,NA,3.5,3.1716,4.3385,3.7193,3.4167,3.5841,2.9126,4.0055,NA,NA,NA,NA,NA,NA,1.7752,NA,NA,1.5753,NA,4.1437,9.159,1.1013,NA,1.3229
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",2.4667,1.3294000000000001,1.6068500000000001,2.357066666666667,3.1549,1.27475,1.9183000000000001,1.7060966666666666,3.259875,3.273175,1.9362000000000001,2.116733333333333,2.77865,2.1077666666666666,1.6482,1.18235,NaN,NaN,NaN,NaN,1.7752,NaN,NaN,1.5753,1.4823,2.67155,9.159,1.1013,NaN,1.3229
"Min",1.3694,1.2352,1.573,1.3511,1.2703,1.2521,1.0862,0.95428,1.3781,1.3602,1.1694,1.3542,1.333,1.0536,1.6482,1.1365,NaN,NaN,NaN,NaN,1.7752,NaN,NaN,1.5753,1.4823,1.1994,9.159,1.1013,NaN,1.3229
"Q25",1.3893499999999999,1.2823000000000002,1.5899249999999998,1.39275,2.01265,1.263425,1.12745,0.973345,1.4785249999999999,1.393575,1.1959499999999998,1.38305,1.4392,1.1589,1.6482,1.1594250000000001,NaN,NaN,NaN,NaN,1.7752,NaN,NaN,1.5753,1.4823,1.935475,9.159,1.1013,NaN,1.3229
"Q50",1.4093,1.3294000000000001,1.6068500000000001,1.4344,2.755,1.27475,1.1687,0.99241,2.92525,2.5620000000000003,1.2225,1.4119,2.1936,1.2642,1.6482,1.18235,NaN,NaN,NaN,NaN,1.7752,NaN,NaN,1.5753,1.4823,2.67155,9.159,1.1013,NaN,1.3229
