"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.90358,1.0349,0.95459,1.1665,0.97279,1.2291,0.95129,0.79883,0.89094,1.0754,0.97117,0.97506,0.94823,1.1803,1.0844,1.0108,NA,NA,NA,NA,NA,NA,NA,NA,1.1891,1.1121,NA,NA,NA,NA
"S_MS0006_02",0.7545,0.70772,0.7929,0.81028,0.7171,0.83309,0.82525,0.80789,NA,0.75427,0.87435,NA,NA,0.81513,0.91962,0.63316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0305,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,0.85286,NA,NA,NA,NA,NA,NA,0.89996,0.96365,NA,0.98283,0.96527,0.90864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74616,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",1.0807,1.1115,1.1098,1.0322,1.2159,0.95496,1.0794,1.0821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.90222,1.196,1.0568,1.287,0.99111,1.0361,1.001,1.0539,NA,NA,NA,NA,NA,NA,NA,NA,1.017,1.0236,1.1534,1.0152,NA,1.1244,1.163,1.5191,NA,NA,1.1939,0.90853,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90995,1.0015,1.1138,1.025,0.76422,0.96339,0.99106,1.1538,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95714,NA,NA,NA
"S_MS0021_01",1.0008,1.1179,1.2009,1.1537,1.1106,1.0722,1.1154,0.90506,NA,1.1595,1.0761,1.0225,1.1066,1.0724,1.1326,1.0463,1.0802,1.0242,1.0852,1.0088,1.1288,1.2052,1.0439,1.1484,0.92857,0.96166,1.4801,0.75371,1.3348,0.66001
