"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.7682,1.2066,0.90206,0.9257,0.92268,0.93847,0.88189,0.96346,1.0612,0.97084,0.85486,0.85997,1.0109,1.071,1.1693,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0791,NA,NA,NA,NA,NA
"S_MS0006_02",0.9182,1.0369,0.99552,0.91305,0.99502,0.95615,0.66012,1.1548,0.85356,NA,0.93137,1.206,0.89661,1.0027,0.92509,1.0128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.72492,1.1516,NA,NA,NA,NA
"S_MS0008_01",0.98034,0.90435,1.021,0.92656,0.94099,0.89697,NA,1.0107,0.96746,0.90574,0.89878,0.81015,0.92766,0.83243,0.89083,0.86064,NA,NA,NA,NA,NA,NA,NA,NA,0.71468,0.98288,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.152,NA,NA,NA,NA
"S_MS0009_01",1.048,0.72552,1.047,0.71584,0.79815,0.72277,0.88377,0.826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.79249,0.88055,NA,NA,NA,1.0552,0.71176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98781,NA,NA,NA,NA,NA,0.92092,NA,NA,1.4823,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.67434,1.2859,0.93947,NA,0.82983,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4049,NA,NA,NA
"S_MS0021_01",0.93415,0.82125,0.81982,0.9031,0.83844,0.84951,0.67336,0.81349,1.5606,1.1181,NA,0.86863,NA,0.66636,0.91359,0.8834,NA,0.57107,1.5081,NA,NA,NA,0.58886,0.78979,NA,1.0989,0.88,0.84613,NA,0.71255
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87786,0.68649,NA,NA,NA,0.88877,1.0043,0.76216,NA,NA,NA,NA,NA,NA
