"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.3135,1.4827,0.67764,0.99416,1.1974,1.2021,1.152,0.94603,1.0278,0.81104,NA,1.1914,1.1443,0.96283,NA,1.3933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",0.89142,1.0108,1.2843,1.2856,NA,0.73801,1.5446,1.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",1.0959,1.0656,NA,1.7536,0.9582,1.1437,1.0539,NA,0.89331,1.1032,0.87695,0.85473,0.80085,1.0467,1.0985,1.0692,0.8109,NA,1.245,NA,1.1644,1.1157,NA,NA,1.2893,0.80854,1.0675,NA,0.57766,1.0063
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.1002733333333332,1.1863666666666666,0.98097,1.3444533333333333,1.0778,1.0279366666666665,1.2501666666666666,1.085015,0.960555,0.95712,0.87695,1.023065,0.972575,1.004765,1.0985,1.23125,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"Min",0.89142,1.0108,0.67764,0.99416,0.9582,0.73801,1.0539,0.94603,0.89331,0.81104,0.87695,0.85473,0.80085,0.96283,1.0985,1.0692,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"Q25",0.99366,1.0382,0.829305,1.13988,1.018,0.940855,1.1029499999999999,1.0155225,0.9269325,0.88408,0.87695,0.9388974999999999,0.8867125,0.9837975,1.0985,1.1502249999999998,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"Q50",1.0959,1.0656,0.98097,1.2856,1.0778,1.1437,1.152,1.085015,0.960555,0.95712,0.87695,1.023065,0.972575,1.004765,1.0985,1.23125,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"Q75",1.2046999999999999,1.2741500000000001,1.132635,1.5196,1.1376,1.1728999999999998,1.3483,1.1545075,0.9941775,1.03016,0.87695,1.1072325,1.0584375,1.0257325,1.0985,1.312275,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"Max",1.3135,1.4827,1.2843,1.7536,1.1974,1.2021,1.5446,1.224,1.0278,1.1032,0.87695,1.1914,1.1443,1.0467,1.0985,1.3933,0.8109,NaN,1.245,NaN,1.1644,1.1157,NaN,NaN,1.2893,0.80854,1.0675,NaN,0.57766,1.0063
"NAs",9.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,11.0,11.0,11.0,12.0,11.0,11.0
"NA%",75.0,75.0,83.33,75.0,83.33,75.0,75.0,83.33,83.33,83.33,91.67,83.33,83.33,83.33,91.67,83.33,91.67,100.0,91.67,100.0,91.67,91.67,100.0,100.0,91.67,91.67,91.67,100.0,91.67,91.67
"unique",3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
"error",0.07035799420213844,0.08603025522927855,0.21448669993731545,0.12770846336408098,0.08456997102991107,0.08425869162771761,0.08655386462476115,0.09827723598321228,0.04754939550088939,0.10329415859573085,NaN,0.11903082001103749,0.12142791199925992,0.029652522869057868,NaN,0.11458665389128005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
