"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,NA,1.0068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",1.0176,1.0246,0.90407,0.88118,NA,0.89809,1.1937,1.0887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",1.1481,1.216,1.0884,0.79307,1.026,0.90294,1.0516,1.0694,NA,NA,NA,NA,NA,NA,NA,NA,0.95943,0.97234,0.97717,0.97262,0.93326,0.98854,0.94723,1.0385,NA,NA,0.56512,1.9963,NA,NA
"P_MS0019_01",0.82294,0.96697,1.0208,0.84757,1.0049,1.0521,0.95587,0.89648,0.84574,1.0546,0.95911,0.88179,0.85558,0.79261,0.81194,0.8431,NA,NA,NA,NA,NA,NA,NA,NA,1.4304,1.1094,NA,NA,NA,NA
"P_MS0021_01",0.90948,0.91818,0.97733,0.94506,0.83453,1.1137,0.9201,0.96215,0.88055,0.98463,0.93115,0.91989,0.93488,0.94086,0.91469,0.90615,0.95497,0.86148,1.0302,0.9008,1.039,0.85854,0.86284,1.0115,0.7746,1.2389,0.60704,1.4223,0.68155,2.1523
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.97453,1.0314375,0.9976499999999999,0.8667199999999999,0.9551433333333333,0.9917075,1.0303175,1.004706,0.863145,1.019615,0.94513,0.90084,0.89523,0.866735,0.863315,0.874625,0.9572,0.91691,1.003685,0.93671,0.98613,0.92354,0.905035,1.025,1.1025,1.17415,0.5860799999999999,1.7092999999999998,0.68155,2.1523
"Min",0.82294,0.91818,0.90407,0.79307,0.83453,0.89809,0.9201,0.89648,0.84574,0.98463,0.93115,0.88179,0.85558,0.79261,0.81194,0.8431,0.95497,0.86148,0.97717,0.9008,0.93326,0.85854,0.86284,1.0115,0.7746,1.1094,0.56512,1.4223,0.68155,2.1523
"Q25",0.887845,0.9547725,0.959015,0.833945,0.919715,0.9017275,0.9469275,0.96215,0.8544425,1.0021225,0.93814,0.891315,0.8754050000000001,0.8296725,0.8376275,0.8588625000000001,0.9560850000000001,0.889195,0.9904275,0.918755,0.959695,0.8910399999999999,0.8839375,1.01825,0.93855,1.141775,0.5756,1.5657999999999999,0.68155,2.1523
"Q50",0.9635400000000001,0.9957849999999999,0.999065,0.864375,1.0049,0.97752,1.003735,1.0068,0.863145,1.019615,0.94513,0.90084,0.89523,0.866735,0.863315,0.874625,0.9572,0.91691,1.003685,0.93671,0.98613,0.92354,0.905035,1.025,1.1025,1.17415,0.5860799999999999,1.7092999999999998,0.68155,2.1523
"Q75",1.0502250000000002,1.07245,1.0377,0.8971499999999999,1.01545,1.0675,1.0871250000000001,1.0694,0.8718475000000001,1.0371075,0.9521200000000001,0.910365,0.915055,0.9037975,0.8890024999999999,0.8903874999999999,0.9583149999999999,0.944625,1.0169425,0.9546650000000001,1.012565,0.95604,0.9261325,1.03175,1.2664499999999999,1.2065249999999998,0.59656,1.8528,0.68155,2.1523
"Max",1.1481,1.216,1.0884,0.94506,1.026,1.1137,1.1937,1.0887,0.88055,1.0546,0.95911,0.91989,0.93488,0.94086,0.91469,0.90615,0.95943,0.97234,1.0302,0.97262,1.039,0.98854,0.94723,1.0385,1.4304,1.2389,0.60704,1.9963,0.68155,2.1523
"NAs",1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0
"NA%",20.0,20.0,20.0,20.0,40.0,20.0,20.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,80.0,80.0
"unique",4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
"error",0.035116650965033656,0.03262584215867079,0.01933347905835884,0.01590158024117938,0.03499521337639276,0.02706986696302427,0.03056315649431245,0.015738033778080408,0.012307193526551862,0.02473813073981136,0.009885352800987929,0.01347038418160374,0.028036783874046622,0.05241429015545283,0.036327610883458886,0.02229154127690593,0.001576848122046008,0.039194928881170314,0.018748936303161316,0.02539220451240892,0.03738473552133275,0.045961940777125586,0.029836370632166362,0.009545941546018361,0.23186031355106893,0.045785164081828936,0.01482095813367006,0.20293964620053917,NaN,NaN
