"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.356,NA,1.131,1.1889,1.0283,0.72925,NA,NA,1.1702,0.99478,1.2436,NA,1.0087,0.9784,1.0884,0.6765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90012,NA,NA,NA,NA
"S_MS0006_02",1.3398,NA,NA,NA,1.2433,NA,NA,NA,NA,NA,1.3134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",1.0266,1.2997,1.1361,NA,NA,NA,NA,0.46742,1.0175,NA,0.91043,1.089,0.94175,0.92296,0.75171,0.5669,NA,NA,NA,NA,NA,NA,NA,NA,0.89676,0.90554,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",1.057,NA,NA,NA,NA,NA,0.65222,NA,0.49475,1.1512,NA,0.8393,1.0366,NA,NA,NA,NA,0.91596,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82383,NA,0.94178
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.1948500000000002,1.2997,1.13355,1.1889,1.1358000000000001,0.72925,0.65222,0.46742,0.8941500000000001,1.0729899999999999,1.15581,0.9641500000000001,0.9956833333333334,0.95068,0.9200550000000001,0.6216999999999999,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.90283,NaN,0.82383,NaN,0.94178
"Min",1.0266,1.2997,1.131,1.1889,1.0283,0.72925,0.65222,0.46742,0.49475,0.99478,0.91043,0.8393,0.94175,0.92296,0.75171,0.5669,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.90012,NaN,0.82383,NaN,0.94178
"Q25",1.0493999999999999,1.2997,1.132275,1.1889,1.0820500000000002,0.72925,0.65222,0.46742,0.756125,1.033885,1.077015,0.901725,0.975225,0.9368200000000001,0.8358825,0.5942999999999999,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.901475,NaN,0.82383,NaN,0.94178
"Q50",1.1984,1.2997,1.13355,1.1889,1.1358000000000001,0.72925,0.65222,0.46742,1.0175,1.0729899999999999,1.2436,0.9641500000000001,1.0087,0.95068,0.9200550000000001,0.6216999999999999,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.90283,NaN,0.82383,NaN,0.94178
"Q75",1.34385,1.2997,1.1348250000000002,1.1889,1.18955,0.72925,0.65222,0.46742,1.09385,1.112095,1.2785,1.026575,1.02265,0.96454,1.0042275,0.6491,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.904185,NaN,0.82383,NaN,0.94178
"Max",1.356,1.2997,1.1361,1.1889,1.2433,0.72925,0.65222,0.46742,1.1702,1.1512,1.3134,1.089,1.0366,0.9784,1.0884,0.6765,NaN,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,0.89676,0.90554,NaN,0.82383,NaN,0.94178
"NAs",8.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,12.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,12.0,11.0,12.0,11.0
