"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",0.79974,0.94331,0.96518,1.3016,5.0577,NA,0.86213,1.0331,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.80273,1.1999,NA,2.3989,NA,1.6349,0.90373,NA,NA,NA,NA,NA,NA
"P_MS0019_01",0.72138,0.61195,0.55067,0.37942,0.99127,1.6403,0.5267,NA,1.0657,NA,0.67392,NA,NA,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71588,NA,NA,NA,NA
"P_MS0021_01",0.89166,NA,NA,0.91289,NA,NA,0.97513,0.81528,0.79757,NA,NA,0.92592,0.81207,0.75406,0.98442,0.81151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5871,NA,NA,NA,0.63186
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.8042600000000001,0.77763,0.757925,0.8646366666666667,3.024485,1.6403,0.7879866666666667,0.92419,0.931635,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.721255,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.6514899999999999,NaN,NaN,NaN,0.63186
"Min",0.72138,0.61195,0.55067,0.37942,0.99127,1.6403,0.5267,0.81528,0.79757,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.631,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.5871,NaN,NaN,NaN,0.63186
"Q25",0.76056,0.69479,0.6542975,0.646155,2.0078774999999998,1.6403,0.694415,0.8697349999999999,0.8646025,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.6761275,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.6192949999999999,NaN,NaN,NaN,0.63186
"Q50",0.79974,0.77763,0.757925,0.91289,3.024485,1.6403,0.86213,0.92419,0.931635,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.721255,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.6514899999999999,NaN,NaN,NaN,0.63186
"Q75",0.8457,0.8604700000000001,0.8615524999999999,1.107245,4.0410924999999995,1.6403,0.9186300000000001,0.9786449999999999,0.9986675,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.7663825,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.683685,NaN,NaN,NaN,0.63186
"Max",0.89166,0.94331,0.96518,1.3016,5.0577,1.6403,0.97513,1.0331,1.0657,NaN,0.67392,0.92592,0.81207,0.75406,0.98442,0.81151,NaN,0.80273,1.1999,NaN,2.3989,NaN,1.6349,0.90373,NaN,0.71588,NaN,NaN,NaN,0.63186
"NAs",2.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0
"NA%",40.0,60.0,60.0,40.0,60.0,80.0,40.0,60.0,60.0,100.0,80.0,80.0,80.0,80.0,80.0,60.0,100.0,80.0,80.0,100.0,80.0,100.0,80.0,80.0,100.0,60.0,100.0,100.0,100.0,80.0
"unique",3.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0
"error",0.028409979467316295,0.1171534515069872,0.1465514159348179,0.15432659316935388,1.4377001141102062,NaN,0.07774266069921067,0.07701099953902686,0.09479827061977453,NaN,NaN,NaN,NaN,NaN,NaN,0.06381992253599182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.045530605640601796,NaN,NaN,NaN,NaN
