"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.81545,NA,0.88797,0.85076,0.91782,0.9049,0.9868,0.93748,0.79242,0.90841,0.88942,0.8962,1.0032,0.91141,0.81936,1.008,NA,NA,NA,NA,NA,NA,NA,NA,0.78379,0.81548,NA,NA,NA,NA
"S_MS0006_02",0.91436,NA,0.90524,0.9397,0.92564,0.91389,0.86876,0.98253,0.8427,0.80332,0.91569,0.77538,NA,0.87609,0.89146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87541,0.92405,NA,NA,NA,NA
"S_MS0008_01",0.89752,0.82977,0.86779,0.75903,0.81671,0.83833,NA,0.80681,0.82626,0.79096,NA,0.84645,0.93941,0.82533,0.75669,0.80775,NA,NA,NA,NA,NA,NA,NA,NA,0.86783,0.80013,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85272,0.7705,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,0.66758,0.75665,0.79274,0.91099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.89443,0.85793,0.94684,0.91582,0.87755,0.95392,0.82891,0.7754,NA,NA,NA,NA,NA,NA,NA,NA,0.8388,0.88851,0.88923,0.89369,0.97795,1.0582,0.85162,0.93106,NA,NA,0.82692,1.1485,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98124,0.89101,0.87232,0.84601,0.82744,0.90853,0.9108,0.89676,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85862,NA,NA,NA
"S_MS0021_01",0.98343,0.84038,0.69208,0.86804,0.89378,NA,0.90281,0.81576,0.8991,0.91251,0.8586,NA,0.82232,0.93759,0.8724,0.94981,0.90788,0.85395,0.81666,0.82227,0.87324,0.93637,0.9601,0.87814,0.8655,0.86601,0.80313,1.2123,0.73087,1.0596
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76537,0.74902,0.71374,0.76971,0.86227,0.8572,0.80393,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7758,0.86627,NA,1.148,0.73584,1.0647
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.901038,0.8426933333333334,0.8599840000000001,0.86667,0.8498466666666668,0.8735379999999999,0.876004,0.871495,0.84012,0.8538000000000001,0.8879033333333334,0.8393433333333333,0.9216433333333334,0.8876050000000001,0.8349774999999999,0.9218533333333333,0.9093066666666667,0.84971,0.8318075,0.8189275,0.862085,0.9413425000000001,0.89493,0.8774725000000001,0.8368416666666668,0.8404066666666666,0.8295566666666666,1.1696,0.733355,1.06215
"Min",0.81545,0.82977,0.69208,0.75903,0.66758,0.75665,0.79274,0.7754,0.79242,0.79096,0.8586,0.77538,0.82232,0.82533,0.75669,0.80775,0.8388,0.76537,0.74902,0.71374,0.76971,0.86227,0.85162,0.80393,0.7758,0.7705,0.80313,1.148,0.73087,1.0596
"Q25",0.89443,0.835075,0.86779,0.85076,0.83192,0.83833,0.82891,0.8090475,0.8178,0.80023,0.87401,0.810915,0.880865,0.8634000000000001,0.8036924999999999,0.87878,0.87334,0.8318049999999999,0.79975,0.7951374999999999,0.8130074999999999,0.896965,0.855805,0.8595875,0.8010225000000001,0.8039675,0.815025,1.14825,0.7321125,1.060875
"Q50",0.89752,0.84038,0.88797,0.86804,0.885665,0.9049,0.86876,0.863375,0.83448,0.8558650000000001,0.88942,0.84645,0.93941,0.89375,0.84588,0.94981,0.90788,0.87123,0.84449,0.83414,0.85034,0.92245,0.884,0.8874500000000001,0.85911,0.840745,0.82692,1.1485,0.733355,1.06215
"Q75",0.91436,0.849155,0.90524,0.91582,0.91181,0.91389,0.90281,0.9308575,0.8568,0.9094350000000001,0.902555,0.871325,0.9713050000000001,0.9179550000000001,0.877165,0.978905,0.9445600000000001,0.889135,0.8765474999999999,0.85793,0.8994175,0.9668275,0.923125,0.905335,0.8672475,0.8662049999999999,0.84277,1.1804000000000001,0.7345975,1.063425
"Max",0.98343,0.85793,0.94684,0.9397,0.92564,0.95392,0.9868,0.98253,0.8991,0.91251,0.91569,0.8962,1.0032,0.93759,0.89146,1.008,0.98124,0.89101,0.88923,0.89369,0.97795,1.0582,0.9601,0.93106,0.87541,0.92405,0.85862,1.2123,0.73584,1.0647
"NAs",7.0,9.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,6.0,9.0,9.0,10.0,10.0
"NA%",58.33,75.0,58.33,58.33,50.0,58.33,58.33,50.0,66.67,66.67,75.0,75.0,75.0,66.67,66.67,75.0,75.0,66.67,66.67,66.67,66.67,66.67,66.67,66.67,50.0,50.0,75.0,75.0,83.33,83.33
"unique",5.0,3.0,5.0,5.0,6.0,5.0,5.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,3.0,3.0,2.0,2.0
"error",0.011978006962763046,0.00474060513405588,0.019654000437569954,0.013996598872583296,0.016224431565686044,0.015484034577589909,0.014898835296760615,0.013897928492724693,0.011136170796104019,0.016410243371138656,0.009525067706573782,0.020240900927833493,0.030579830740999014,0.012141482868661476,0.015113153263382863,0.03433688821941489,0.023743572073612152,0.014678742566491631,0.015825758983247316,0.01903859877273447,0.022023921133243585,0.02092124193403681,0.012746155302678525,0.013426165898318349,0.007476548179821033,0.009264970028533803,0.009279601484099618,0.012326709933221333,0.0017571603512485812,0.0018031222920256546
