"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.80331,0.89964,0.94599,0.92032,0.9564,0.92845,0.89075,1.184,1.1418,1.0687,1.0778,1.4149,0.88582,1.0242,0.95607,0.95356,NA,NA,NA,NA,NA,NA,NA,NA,1.085,0.75769,NA,NA,NA,NA
"S_MS0006_02",1.023,1.165,1.0126,1.0517,1.2489,1.1379,NA,NA,NA,0.96482,1.0013,1.0645,0.98063,1.0719,0.94627,1.0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2222,0.7441,NA,NA,NA,NA
"S_MS0008_01",NA,1.1117,1.185,NA,1.154,1.0082,NA,NA,0.97858,1.0648,1.0664,1.0872,1.0738,1.1753,0.96119,1.2035,NA,NA,NA,NA,NA,NA,NA,NA,0.97097,0.80627,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,0.87291,1.2578,1.1134,NA,1.0985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.79099,0.8574,0.8467,1.0943,1.1427,1.021,1.0904,1.1151,NA,NA,NA,NA,NA,NA,NA,NA,1.0853,1.0317,0.97572,1.1443,NA,0.93472,0.84405,0.86619,NA,NA,1.4588,0.80154,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.81397,0.96609,0.92252,0.87705,0.89503,0.66934,NA,0.89541,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.239,0.71192,NA,NA
"S_MS0021_01",NA,NA,NA,1.0514,NA,1.0461,1.0224,0.90105,0.90998,0.81441,NA,0.91342,NA,0.94482,0.94412,NA,0.76726,0.85224,NA,NA,NA,NA,0.83259,NA,0.84253,0.74064,0.83175,0.87406,NA,0.77982
