"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",1.0258,0.91709,0.94274,1.0343,0.896,0.85709,0.92719,0.70542,1.0603,0.98705,0.95794,0.9846,0.87442,0.88416,0.89549,0.9473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9489,0.86882,NA,NA,NA,NA
"S_MS0008_01",0.88627,0.95849,NA,0.9687,NA,0.8679,NA,0.87433,0.80033,NA,0.97979,NA,NA,1.1388,0.97112,0.82293,NA,NA,NA,NA,NA,NA,NA,NA,0.97434,0.8291,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0884,0.94542,NA,NA,NA,NA
"S_MS0009_01",NA,0.90293,0.89271,0.97864,NA,0.92763,0.99559,0.91093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",0.75437,0.97697,NA,0.79501,NA,0.76736,NA,0.87288,0.8702,NA,0.78073,0.84987,NA,0.92223,NA,0.84046,0.92604,NA,NA,NA,NA,0.87791,0.70039,0.8748,NA,NA,0.73512,NA,0.69225,1.0174
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88555,NA,0.7931,0.74651,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.86374,0.81441,0.77084,0.62735,0.85211,1.041
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.8888133333333332,0.93887,0.917725,0.9441625,0.896,0.854995,0.96139,0.84089,0.9102766666666667,0.98705,0.9061533333333335,0.917235,0.87442,0.9817299999999999,0.933305,0.87023,0.92604,0.88555,NaN,0.7931,0.74651,0.87791,0.70039,0.8748,0.968845,0.8644375,0.75298,0.62735,0.7721800000000001,1.0292
"Min",0.75437,0.90293,0.89271,0.79501,0.896,0.76736,0.92719,0.70542,0.80033,0.98705,0.78073,0.84987,0.87442,0.88416,0.89549,0.82293,0.92604,0.88555,NaN,0.7931,0.74651,0.87791,0.70039,0.8748,0.86374,0.81441,0.73512,0.62735,0.69225,1.0174
"Q25",0.8203199999999999,0.91355,0.9052175,0.9252775,0.896,0.8346575,0.94429,0.8310150000000001,0.8352649999999999,0.98705,0.869335,0.8835525,0.87442,0.903195,0.9143975,0.8316950000000001,0.92604,0.88555,NaN,0.7931,0.74651,0.87791,0.70039,0.8748,0.9276099999999999,0.8254275,0.7440499999999999,0.62735,0.7322150000000001,1.0232999999999999
