"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",0.97122,0.86297,1.064,NA,NA,0.98602,0.92333,0.73499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",0.9305,NA,1.2259,1.0171,0.81166,NA,NA,0.96176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",1.0911,NA,NA,NA,NA,NA,0.99496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0019_01",NA,0.79685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99577,1.3177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0021_01",NA,NA,NA,1.1817,1.1428,NA,NA,NA,NA,NA,NA,NA,1.1912,NA,1.1572,NA,NA,NA,1.1154,NA,NA,NA,NA,NA,NA,0.94266,NA,1.0756,0.65264,1.2235
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.9976066666666666,0.8299099999999999,1.1449500000000001,1.0994,0.97723,0.98602,0.9591449999999999,0.848375,NaN,NaN,NaN,NaN,1.093485,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"Min",0.9305,0.79685,1.064,1.0171,0.81166,0.98602,0.92333,0.73499,NaN,NaN,NaN,NaN,0.99577,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"Q25",0.95086,0.81338,1.104475,1.05825,0.8944450000000002,0.98602,0.9412375,0.7916825000000001,NaN,NaN,NaN,NaN,1.0446275,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"Q50",0.97122,0.8299099999999999,1.1449500000000001,1.0994,0.97723,0.98602,0.9591449999999999,0.848375,NaN,NaN,NaN,NaN,1.093485,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"Q75",1.0311599999999999,0.8464400000000001,1.185425,1.14055,1.060015,0.98602,0.9770525,0.9050674999999999,NaN,NaN,NaN,NaN,1.1423425,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"Max",1.0911,0.86297,1.2259,1.1817,1.1428,0.98602,0.99496,0.96176,NaN,NaN,NaN,NaN,1.1912,1.3177,1.1572,NaN,NaN,NaN,1.1154,0.92602,NaN,NaN,NaN,NaN,NaN,0.94266,NaN,1.0756,0.65264,1.2235
"NAs",2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0
"NA%",40.0,60.0,60.0,60.0,60.0,80.0,60.0,60.0,100.0,100.0,100.0,100.0,60.0,80.0,80.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,80.0,80.0
"unique",3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
"error",0.027829405178562337,0.023376950186027284,0.057240293937051,0.05819488809165289,0.11707566976105667,NaN,0.02532502936819619,0.08017530238483667,NaN,NaN,NaN,NaN,0.06909493912364349,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
