"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",0.96817,NA,0.9671,1.3016,5.0577,NA,0.86213,0.8635,NA,NA,NA,NA,NA,NA,NA,NA,0.95954,0.80273,1.1999,0.77649,0.86224,0.93027,1.6349,NA,NA,NA,0.78779,0.92784,NA,NA
"P_MS0019_01",NA,0.73448,0.88367,0.37942,0.99127,0.66384,0.5267,0.96993,0.87437,NA,0.70837,0.79239,1.0194,NA,NA,0.631,NA,NA,NA,NA,NA,NA,NA,NA,0.94189,NA,NA,NA,NA,NA
"P_MS0021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85238,0.79894,NA,NA,NA,0.98442,NA,0.77662,0.81999,NA,0.96576,NA,NA,NA,1.0508,NA,NA,1.1146,0.55046,NA,0.63186
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.96817,0.73448,0.9253849999999999,0.8405100000000001,3.024485,0.66384,0.694415,0.916715,0.87437,0.85238,0.753655,0.79239,1.0194,NaN,0.98442,0.631,0.86808,0.8113600000000001,1.1999,0.8711249999999999,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,0.951195,0.73915,NaN,0.63186
"Min",0.96817,0.73448,0.88367,0.37942,0.99127,0.66384,0.5267,0.8635,0.87437,0.85238,0.70837,0.79239,1.0194,NaN,0.98442,0.631,0.77662,0.80273,1.1999,0.77649,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,0.78779,0.55046,NaN,0.63186
"Q25",0.96817,0.73448,0.9045274999999999,0.609965,2.0078774999999998,0.66384,0.6105575,0.8901075,0.87437,0.85238,0.7310125000000001,0.79239,1.0194,NaN,0.98442,0.631,0.82235,0.807045,1.1999,0.8238075,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,0.8694925,0.644805,NaN,0.63186
"Q50",0.96817,0.73448,0.9253849999999999,0.8405100000000001,3.024485,0.66384,0.694415,0.916715,0.87437,0.85238,0.753655,0.79239,1.0194,NaN,0.98442,0.631,0.86808,0.8113600000000001,1.1999,0.8711249999999999,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,0.951195,0.73915,NaN,0.63186
"Q75",0.96817,0.73448,0.9462425,1.071055,4.0410924999999995,0.66384,0.7782724999999999,0.9433225000000001,0.87437,0.85238,0.7762975,0.79239,1.0194,NaN,0.98442,0.631,0.9138099999999999,0.815675,1.1999,0.9184424999999999,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,1.0328975,0.8334950000000001,NaN,0.63186
"Max",0.96817,0.73448,0.9671,1.3016,5.0577,0.66384,0.86213,0.96993,0.87437,0.85238,0.79894,0.79239,1.0194,NaN,0.98442,0.631,0.95954,0.81999,1.1999,0.96576,0.86224,0.93027,1.6349,1.0508,0.94189,NaN,1.1146,0.92784,NaN,0.63186
"NAs",4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0
"NA%",80.0,80.0,60.0,60.0,60.0,80.0,60.0,60.0,80.0,80.0,60.0,80.0,80.0,100.0,80.0,80.0,60.0,60.0,80.0,60.0,80.0,80.0,80.0,80.0,80.0,100.0,60.0,60.0,100.0,80.0
"unique",1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0
"error",NaN,NaN,0.029496959377196832,0.32603986573730526,1.4377001141102062,NaN,0.11859241380670182,0.03762868736084209,NaN,NaN,0.03202133058603278,NaN,NaN,NaN,NaN,NaN,0.06467198620732162,0.006102331521639884,NaN,0.0669170502375889,NaN,NaN,NaN,NaN,NaN,NaN,0.11554478357978781,0.13342397854208968,NaN,NaN
