"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.1308,0.88137,NA,0.88381,0.97385,1.0533,1.0471,1.0542,0.9757,0.88117,NA,0.98836,1.0451,1.231,1.0921,0.97474,NA,NA,NA,NA,NA,NA,NA,NA,1.0244,0.90158,NA,NA,NA,NA
"S_MS0006_02",1.1297,1.0228,NA,NA,NA,NA,NA,1.0068,NA,0.93684,1.0494,NA,1.0454,NA,NA,0.99694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.96381,NA,NA,NA,NA
"S_MS0008_01",NA,NA,1.1158,1.129,1.0246,0.99347,NA,NA,0.98496,1.0401,1.0577,1.0904,0.94365,0.92837,1.0958,1.0609,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0386,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94715,0.85826,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7639,NA,NA,NA
"S_MS0021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0467,NA,NA,0.15685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2324,1.1367,0.99775,1.0668,1.0954,1.1472,1.1391,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93549,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",1.13025,0.952085,1.1158,1.006405,0.999225,1.023385,1.0471,1.0305,0.9803299999999999,0.9527033333333333,1.0512666666666666,1.03938,1.0113833333333333,0.7720733333333333,1.09395,1.01086,NaN,1.2324,1.1367,0.99775,1.006975,0.97683,1.1472,1.1391,1.0244,0.9598700000000001,1.7639,NaN,NaN,NaN
"Min",1.1297,0.88137,1.1158,0.88381,0.97385,0.99347,1.0471,1.0068,0.9757,0.88117,1.0467,0.98836,0.94365,0.15685,1.0921,0.97474,NaN,1.2324,1.1367,0.99775,0.94715,0.85826,1.1472,1.1391,1.0244,0.90158,1.7639,NaN,NaN,NaN
"Q25",1.129975,0.9167274999999999,1.1158,0.9451075,0.9865375,1.0084275,1.0471,1.0186499999999998,0.9780150000000001,0.9090050000000001,1.04805,1.01387,0.994375,0.54261,1.093025,0.98584,NaN,1.2324,1.1367,0.99775,0.9770625,0.917545,1.1472,1.1391,1.0244,0.9270125,1.7639,NaN,NaN,NaN
"Q50",1.13025,0.952085,1.1158,1.006405,0.999225,1.023385,1.0471,1.0305,0.9803299999999999,0.93684,1.0494,1.03938,1.0451,0.92837,1.09395,0.99694,NaN,1.2324,1.1367,0.99775,1.006975,0.97683,1.1472,1.1391,1.0244,0.94965,1.7639,NaN,NaN,NaN
"Q75",1.130525,0.9874424999999999,1.1158,1.0677025,1.0119125,1.0383425,1.0471,1.04235,0.982645,0.98847,1.05355,1.0648900000000001,1.04525,1.079685,1.094875,1.02892,NaN,1.2324,1.1367,0.99775,1.0368875,1.0361150000000001,1.1472,1.1391,1.0244,0.9825074999999999,1.7639,NaN,NaN,NaN
"Max",1.1308,1.0228,1.1158,1.129,1.0246,1.0533,1.0471,1.0542,0.98496,1.0401,1.0577,1.0904,1.0454,1.231,1.0958,1.0609,NaN,1.2324,1.1367,0.99775,1.0668,1.0954,1.1472,1.1391,1.0244,1.0386,1.7639,NaN,NaN,NaN
"NAs",10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,12.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,11.0,8.0,11.0,12.0,12.0,12.0
"NA%",83.33,83.33,91.67,83.33,83.33,83.33,91.67,83.33,83.33,75.0,75.0,83.33,75.0,75.0,83.33,75.0,100.0,91.67,91.67,91.67,83.33,83.33,91.67,91.67,91.67,66.67,91.67,100.0,100.0,100.0
"unique",2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0
"error",0.0003889087296526368,0.05000305603160669,NaN,0.0866877558395648,0.017942834572608632,0.021153099359195546,NaN,0.016758430714121215,0.003273904396893692,0.026881262026700836,0.0019108849995438076,0.036076587976137664,0.019552993045491456,0.18462305189924846,0.0013081475451951258,0.014911633042695204,NaN,NaN,NaN,NaN,0.04230266318448518,0.0838416510452889,NaN,NaN,NaN,0.014581698717913484,NaN,NaN,NaN,NaN
