"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",NA,NA,NA,NA,1.0432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",NA,1.2916,NA,NA,0.9673,NA,NA,0.98946,NA,NA,NA,0.92658,NA,1.0191,0.94658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,0.92308,0.95825,NA,NA,NA,NA,0.97542,0.9733,0.99228,0.93917,0.94285,0.95124,1.0051,NA,NA,NA,NA,NA,NA,NA,NA,1.2238,0.75325,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,0.81649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",NA,NA,NA,NA,NA,0.91073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",NaN,1.2916,NaN,0.92308,0.94631,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.95943,0.93917,0.9809749999999999,0.9489099999999999,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"Min",NaN,1.2916,NaN,0.92308,0.81649,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.92658,0.93917,0.94285,0.94658,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"Q25",NaN,1.2916,NaN,0.92308,0.92281,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.943005,0.93917,0.9619125,0.947745,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"Q50",NaN,1.2916,NaN,0.92308,0.962775,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.95943,0.93917,0.9809749999999999,0.9489099999999999,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"Q75",NaN,1.2916,NaN,0.92308,0.986275,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.975855,0.93917,1.0000375,0.950075,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"Max",NaN,1.2916,NaN,0.92308,1.0432,0.91073,NaN,0.98946,NaN,0.97542,0.9733,0.99228,0.93917,1.0191,0.95124,1.0051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2238,0.75325,NaN,NaN,NaN,NaN
"NAs",12.0,11.0,12.0,11.0,8.0,11.0,12.0,11.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,11.0,12.0,12.0,12.0,12.0
"NA%",100.0,91.67,100.0,91.67,66.67,91.67,100.0,91.67,100.0,91.67,91.67,83.33,91.67,83.33,83.33,91.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.67,91.67,100.0,100.0,100.0,100.0
"unique",0.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
"error",NaN,NaN,NaN,NaN,0.023639677186882216,NaN,NaN,NaN,NaN,NaN,NaN,0.02322845776197812,NaN,0.026958446032737098,0.001647558800164655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
