"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.8739,NA,NA,1.043,NA,NA,NA,NA,1.1109,NA,NA,1.1755,NA,1.0823,1.1731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",0.99795,NA,NA,1.1371,NA,NA,NA,NA,1.2255,NA,0.97259,1.0937,NA,1.1367,0.91233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,0.89816,0.99154,1.0879,NA,NA,NA,NA,NA,1.0783,NA,1.0498,NA,0.95839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99778,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",1.05,0.96843,1.0285,1.0672,1.0744,1.0563,NA,0.95472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,1.2459,NA,NA,NA,1.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0331,NA,NA,NA,NA,NA,NA,NA,1.0582,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0372,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_01",NA,1.5562,NA,1.2819,NA,NA,1.132,NA,0.85221,1.1592,1.2803,0.91366,NA,1.0258,NA,0.91641,0.89249,1.1204,1.354,1.6047,0.87255,0.97214,1.2778,1.1498,1.1701,1.1406,1.0449,0.8752,1.0875,0.9335
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99011,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.97395,1.262315,0.96333,1.1277733333333333,1.08115,1.0563,1.132,1.0548600000000001,1.06287,1.1592,1.1103966666666667,1.0609533333333332,1.0498,1.0816000000000001,1.0146066666666667,0.91641,0.89249,1.1204,1.354,1.3189,0.9548749999999999,0.97214,1.2778,1.069955,1.1701,1.06919,1.0449,0.9667,1.0875,0.9335
"Min",0.8739,0.96843,0.89816,0.99154,1.0744,1.0563,1.132,0.95472,0.85221,1.1592,0.97259,0.91366,1.0498,1.0258,0.91233,0.91641,0.89249,1.1204,1.354,1.0331,0.87255,0.97214,1.2778,0.99011,1.1701,0.99778,1.0449,0.8752,1.0875,0.9335
"Q25",0.935925,1.1153724999999999,0.9307449999999999,1.0490499999999998,1.0777750000000001,1.0563,1.132,1.00479,0.981555,1.1592,1.025445,1.00368,1.0498,1.0540500000000002,0.93536,0.91641,0.89249,1.1204,1.354,1.176,0.9137125,0.97214,1.2778,1.0300325,1.1701,1.033485,1.0449,0.9209499999999999,1.0875,0.9335
"Q50",0.99795,1.262315,0.96333,1.10215,1.08115,1.0563,1.132,1.0548600000000001,1.1109,1.1592,1.0783,1.0937,1.0498,1.0823,0.95839,0.91641,0.89249,1.1204,1.354,1.3189,0.9548749999999999,0.97214,1.2778,1.069955,1.1701,1.06919,1.0449,0.9667,1.0875,0.9335
"Q75",1.023975,1.4092574999999998,0.9959149999999999,1.2187000000000001,1.084525,1.0563,1.132,1.10493,1.1682000000000001,1.1592,1.1793,1.1345999999999998,1.0498,1.1095000000000002,1.065745,0.91641,0.89249,1.1204,1.354,1.4618,0.9960374999999999,0.97214,1.2778,1.1098775,1.1701,1.104895,1.0449,1.0124499999999999,1.0875,0.9335
"Max",1.05,1.5562,1.0285,1.2819,1.0879,1.0563,1.132,1.155,1.2255,1.1592,1.2803,1.1755,1.0498,1.1367,1.1731,0.91641,0.89249,1.1204,1.354,1.6047,1.0372,0.97214,1.2778,1.1498,1.1701,1.1406,1.0449,1.0582,1.0875,0.9335
"NAs",9.0,10.0,10.0,6.0,10.0,11.0,11.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,11.0
"NA%",75.0,83.33,83.33,50.0,83.33,91.67,91.67,83.33,75.0,91.67,75.0,75.0,91.67,75.0,75.0,91.67,91.67,91.67,91.67,83.33,83.33,91.67,91.67,83.33,91.67,83.33,91.67,83.33,91.67,91.67
"unique",3.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
"error",0.030156632769591508,0.20780807638900853,0.046082148929927305,0.019323430413955057,0.00477297077300922,NaN,NaN,0.07080967306802087,0.06374124488900416,NaN,0.0521152654468208,0.044652117696866445,NaN,0.01848443789906646,0.04639262804624284,NaN,NaN,NaN,NaN,0.2020911180631153,0.05821256576118247,NaN,NaN,0.056458940943839846,NaN,0.05049449524453138,NaN,0.06470027047856912,NaN,NaN
