"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.90915,0.30385,0.2664,0.28237,0.18179,0.22707,NA,0.14745,1.0039,0.40656,0.24438,0.22059,0.22643,NA,0.2089,0.17882,NA,NA,NA,NA,NA,NA,NA,NA,0.96823,0.81726,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5203,0.94005,NA,NA,NA,NA
"S_MS0008_01",1.1247,0.4878,NA,NA,0.33808,NA,NA,NA,0.89808,NA,NA,NA,0.26649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1233,0.96424,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89575,NA,NA,NA,NA
"S_MS0009_01",1.0843,0.37842,0.24058,0.26367,NA,0.20063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.96105,0.35246,0.25572,0.19094,0.19502,0.23577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0077,0.37461,0.32682,0.25103,0.23741,0.19181,0.18357,0.1747,NA,NA,0.78969,1.2512,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95169,0.44295,0.33328,0.21635,0.23785,0.17899,NA,0.18393,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.701,1.5404,NA,NA
"S_MS0021_01",1.0136,0.37351,0.26175,0.19457,0.18432,0.18048,0.17679,0.19763,1.0713,0.42696,0.32102,0.26203,0.31883,0.21383,0.19687,0.1856,0.8909,0.32026,0.28942,0.25756,0.22679,0.19905,0.17715,0.15367,1.1094,0.90322,0.81373,1.1411,0.77743,1.2091
