"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"P_MS0009_01",1.0262,1.0355,1.205,0.70338,NA,1.0419,1.1973,1.1825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0009_02",0.96639,1.093,0.93765,0.92511,1.0307,0.90518,1.1576,1.4111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0016_01",0.80206,1.4732,0.89981,NA,NA,0.50106,0.6004,1.0387,NA,NA,NA,NA,NA,NA,NA,NA,0.62467,0.68164,0.57052,NA,NA,0.77244,0.69764,NA,NA,NA,NA,0.92253,NA,NA
"P_MS0019_01",NA,NA,NA,0.77744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MS0021_01",1.1934,0.74043,0.75513,0.71107,0.77521,1.4336,0.96056,1.3409,NA,NA,0.85536,1.0529,1.8056,0.84864,NA,0.98544,1.3236,1.1145,1.0296,NA,NA,0.77554,NA,NA,2.2227,0.49919,1.5125,0.62523,NA,0.76677
"N",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
"Mean",0.9970125,1.0855325,0.9493975,0.77925,0.902955,0.9704349999999999,0.978965,1.2433,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,0.974135,0.89807,0.80006,NaN,NaN,0.77399,0.69764,NaN,2.2227,0.49919,1.5125,0.7738799999999999,NaN,0.76677
"Min",0.80206,0.74043,0.75513,0.70338,0.77521,0.50106,0.6004,1.0387,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,0.62467,0.68164,0.57052,NaN,NaN,0.77244,0.69764,NaN,2.2227,0.49919,1.5125,0.62523,NaN,0.76677
"Q25",0.9253075,0.9617325000000001,0.86364,0.7091475,0.8390825,0.8041499999999999,0.87052,1.14655,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,0.7994025,0.7898550000000001,0.68529,NaN,NaN,0.773215,0.69764,NaN,2.2227,0.49919,1.5125,0.6995549999999999,NaN,0.76677
"Q50",0.9962949999999999,1.06425,0.91873,0.744255,0.902955,0.9735400000000001,1.05908,1.2617,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,0.974135,0.89807,0.80006,NaN,NaN,0.77399,0.69764,NaN,2.2227,0.49919,1.5125,0.7738799999999999,NaN,0.76677
"Q75",1.068,1.18805,1.0044875,0.8143575000000001,0.9668275,1.139825,1.167525,1.3584500000000002,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,1.1488675000000002,1.006285,0.91483,NaN,NaN,0.774765,0.69764,NaN,2.2227,0.49919,1.5125,0.8482049999999999,NaN,0.76677
"Max",1.1934,1.4732,1.205,0.92511,1.0307,1.4336,1.1973,1.4111,NaN,NaN,0.85536,1.0529,1.8056,0.84864,NaN,0.98544,1.3236,1.1145,1.0296,NaN,NaN,0.77554,0.69764,NaN,2.2227,0.49919,1.5125,0.92253,NaN,0.76677
"NAs",1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0
"NA%",20.0,20.0,20.0,20.0,60.0,20.0,20.0,20.0,100.0,100.0,80.0,80.0,80.0,80.0,100.0,80.0,60.0,60.0,60.0,100.0,100.0,60.0,80.0,100.0,80.0,80.0,80.0,60.0,100.0,80.0
"unique",4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
"error",0.04040528406940319,0.07526907851654069,0.04691957291361287,0.025691756541090505,0.09032935576267552,0.09619859764873569,0.0681956191622062,0.04164342685226565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2471090712873569,0.15303912065220449,0.16230929055356014,NaN,NaN,0.0010960155108391456,NaN,NaN,NaN,NaN,NaN,0.1051114230233803,NaN,NaN
