"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",0.92916,1.0919,NA,NA,NA,NA,NA,NA,0.98739,NA,NA,NA,0.97506,NA,1.0091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1353,0.88655,NA,1.0669,0.83054,0.9147,0.70118,0.76723,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2556,0.91141,NA,NA
"S_MS0021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0287,0.93336,NA,NA,NA,0.79405,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54163
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.0819999999999999,0.909955,NaN,1.0669,0.83054,0.854375,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"Min",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.0287,0.88655,NaN,1.0669,0.83054,0.79405,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"Q25",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.05535,0.8982525,NaN,1.0669,0.83054,0.8242125,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"Q50",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.0819999999999999,0.909955,NaN,1.0669,0.83054,0.854375,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"Q75",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.10865,0.9216575,NaN,1.0669,0.83054,0.8845375,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"Max",0.92916,1.0919,NaN,NaN,NaN,NaN,NaN,NaN,0.98739,NaN,NaN,NaN,0.97506,NaN,1.0091,NaN,1.1353,0.93336,NaN,1.0669,0.83054,0.9147,0.70118,0.76723,NaN,NaN,1.2556,0.91141,NaN,0.54163
"NAs",11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,10.0,12.0,11.0,11.0,10.0,11.0,11.0,12.0,12.0,11.0,11.0,12.0,11.0
"NA%",91.67,91.67,100.0,100.0,100.0,100.0,100.0,100.0,91.67,100.0,100.0,100.0,91.67,100.0,91.67,100.0,83.33,83.33,100.0,91.67,91.67,83.33,91.67,91.67,100.0,100.0,91.67,91.67,100.0,91.67
"unique",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
"error",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.03768879143724299,0.016549834213671153,NaN,NaN,NaN,0.042656216575078454,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
