"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.1266,1.0479,0.72395,1.0787,1.0796,0.94125,0.93384,1.0096,1.0735,0.78979,0.99479,1.1427,1.387,0.833,0.98058,1.1206,NA,NA,NA,NA,NA,NA,NA,NA,1.3236,1.0492,NA,NA,NA,NA
"S_MS0006_02",0.79699,1.0391,0.84616,1.2888,1.1782,0.59436,0.81432,0.84195,0.94213,0.94253,NA,0.8395,0.99437,0.53542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2197,0.91218,NA,NA,NA,NA
"S_MS0008_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.92259,NA,NA,NA,NA,NA
"S_MS0009_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",0.6544,1.2503,1.0952,1.1254,1.2227,1.1776,1.1761,1.1352,NA,NA,NA,NA,NA,NA,NA,NA,0.95941,1.149,1.0425,1.0297,1.2227,0.94477,0.68096,1.0456,NA,NA,1.1385,1.0417,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97935,1.109,1.0071,0.73363,1.0694,0.85002,0.56899,0.99425,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0644,0.92185,NA,NA
"S_MS0021_01",NA,NA,0.92434,NA,0.84027,NA,NA,NA,NA,NA,NA,NA,NA,1.1318,0.84234,1.7956,NA,NA,NA,NA,NA,NA,NA,0.93113,NA,NA,NA,NA,NA,NA
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85793,0.95912,0.89347,1.0846,0.98224,1.0732,0.88366,0.8017,NA,NA,NA,NA,NA,NA
"S_MS0021_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51283,0.24479,1.584,0.20936,0.21998,1.0776
"N",12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
"Mean",0.8593299999999999,1.1124333333333334,0.8974125,1.1643,1.0801924999999999,0.9044033333333333,0.9747533333333332,0.9955833333333333,1.007815,0.86616,0.99479,0.9911000000000001,1.190685,0.8334066666666665,0.9114599999999999,1.4581,0.93223,1.0723733333333334,0.9810233333333332,0.94931,1.0914466666666665,0.9559966666666666,0.7112033333333333,0.94317,0.9946800000000001,0.7353899999999999,1.2623,0.7243033333333333,0.21998,1.0776
"Min",0.6544,1.0391,0.72395,1.0787,0.84027,0.59436,0.81432,0.84195,0.94213,0.78979,0.99479,0.8395,0.99437,0.53542,0.84234,1.1206,0.85793,0.95912,0.89347,0.73363,0.98224,0.85002,0.56899,0.8017,0.51283,0.24479,1.0644,0.20936,0.21998,1.0776
"Q25",0.725695,1.0434999999999999,0.8156074999999999,1.10205,1.0197675,0.7678050000000001,0.87408,0.925775,0.9749725,0.827975,0.99479,0.9153,1.0925275,0.68421,0.8769,1.28935,0.90867,1.03406,0.950285,0.881665,1.02582,0.8973949999999999,0.6249750000000001,0.8987725,0.82015,0.578485,1.10145,0.5656049999999999,0.21998,1.0776
"Q50",0.79699,1.0479,0.8852500000000001,1.1254,1.1288999999999998,0.94125,0.93384,1.0096,1.007815,0.86616,0.99479,0.9911000000000001,1.190685,0.833,0.9114599999999999,1.4581,0.95941,1.109,1.0071,1.0297,1.0694,0.94477,0.68096,0.96269,1.071145,0.91218,1.1385,0.92185,0.21998,1.0776
