"x","Control_0","Control_2_5","Control_5","Control_7_5","Control_10","Control_20","Control_30","Control_45","B55_0","B55_2_5","B55_5","B55_7_5","B55_10","B55_20","B55_30","B55_45","GWL_0","GWL_2_5","GWL_5","GWL_7_5","GWL_10","GWL_20","GWL_30","GWL_45","CM_Con_H_B55_L_","CM_Con_L_B55_H_","CM_Con_H_GWL_L_","CM_Con_L_GWL_H_","CM_B55_H_GWL_L_","CM_B55_L_GWL_H_"
"S_MS0006_01",1.0673,1.1014,0.93375,1.0159,0.95261,1.029,0.93581,1.1595,1.0181,0.97548,1.1098,0.95292,1.0759,0.99078,1.237,0.96481,NA,NA,NA,NA,NA,NA,NA,NA,1.1999,0.99691,NA,NA,NA,NA
"S_MS0006_02",0.78925,0.83576,1.0159,1.0285,NA,0.78296,NA,NA,0.97187,NA,NA,1.0693,NA,1.2348,NA,0.91539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0006_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97229,NA,NA,NA,NA
"S_MS0008_01",1.2388,0.98274,1.028,1.3032,1.2244,1.1552,NA,1.0008,1.1972,1.1474,1.0436,1.0921,1.1127,1.1517,1.0406,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3153,1.002,NA,NA,NA,NA
"S_MS0008_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.309,1.0052,NA,NA,NA,NA
"S_MS0009_01",1.1906,1.6584,NA,1.4522,1.3153,1.4051,1.0518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_01",1.1323,1.1423,0.92735,1.0501,0.91015,0.95424,1.1312,1.1782,NA,NA,NA,NA,NA,NA,NA,NA,0.87792,1.065,1.0381,1.0644,0.93758,1.1002,1.3035,0.94841,NA,NA,1.4631,0.7563,NA,NA
"S_MS0016_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91726,1.0444,1.0829,1.0191,0.98306,0.96966,NA,NA,NA,NA,NA,NA,NA,NA
"S_MS0016_03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4137,0.715,NA,NA
"S_MS0021_01",1.0108,1.2128,1.188,0.97717,1.1216,0.99394,1.1017,1.0818,1.0167,1.2659,1.0847,1.074,1.2052,1.1923,1.1627,1.0977,1.4477,1.1649,1.3286,1.2857,1.1246,NA,1.2565,1.1671,1.1032,0.89646,1.5324,0.78483,1.0933,0.87524
"S_MS0021_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94593,1.2211,1.3591,1.4465,1.2745,1.2595,NA,NA,NA,NA,NA,NA,NA,NA
