1 1.82975 1.82975 2 1 
0.999832 1.82975 1.82975 1 1 
0.999706 1.82975 1.82975 1 1 
0.999454 1.82975 1.82975 1 1 
0.99895 1.82975 1.82975 1 1 
0.998111 1.82975 1.82975 1 1 
0.997271 1.82975 1.82975 1 1 
0.996431 1.82975 1.82975 1 1 
0.995592 1.82974 1.82974 1 1 
0.994752 1.82974 1.82974 1 1 
0.993912 1.82974 1.82974 1 1 
0.993073 1.82974 1.82974 1 1 
0.992233 1.82974 1.82974 1 1 
0.991393 1.82974 1.82974 1 1 
0.990554 1.82974 1.82974 1 1 
0.989714 1.82974 1.82974 1 1 
0.988874 1.82974 1.82974 1 1 
0.988035 1.82973 1.82973 1 1 
0.987195 1.82973 1.82973 1 1 
0.986355 1.82973 1.82973 1 1 
0.985516 1.82973 1.82973 1 1 
0.984676 1.82973 1.82973 1 1 
0.983836 1.82973 1.82973 1 1 
0.982997 1.82973 1.82973 1 1 
0.982157 1.82973 1.82973 1 1 
0.981317 1.82973 1.82973 1 1 
0.980478 1.82972 1.82972 1 1 
0.979638 1.82972 1.82972 1 1 
0.978798 1.82972 1.82972 1 1 
0.977959 1.82972 1.82972 1 1 
0.977119 1.82972 1.82972 1 1 
0.976279 1.82972 1.82972 1 1 
0.97544 1.82972 1.82972 1 1 
0.9746 1.82972 1.82972 1 1 
0.97376 1.82972 1.82972 1 1 
0.972921 1.82971 1.82971 1 1 
0.972081 1.82971 1.82971 1 1 
0.971241 1.82971 1.82971 1 1 
0.970401 1.82971 1.82971 1 1 
0.969562 1.82971 1.82971 1 1 
0.968722 1.82971 1.82971 1 1 
0.967882 1.82971 1.82971 1 1 
0.967043 1.82971 1.82971 1 1 
0.966203 1.8297 1.8297 1 1 
0.965363 1.8297 1.8297 1 1 
0.964524 1.8297 1.8297 1 1 
0.963684 1.8297 1.8297 1 1 
0.962844 1.8297 1.8297 1 1 
0.962005 1.8297 1.8297 1 1 
0.961165 1.8297 1.8297 1 1 
0.960325 1.8297 1.8297 1 1 
0.959486 1.8297 1.8297 1 1 
0.958646 1.82969 1.82969 1 1 
0.957806 1.82969 1.82969 1 1 
0.956967 1.82969 1.82969 1 1 
0.956127 1.82969 1.82969 1 1 
0.955287 1.82969 1.82969 1 1 
0.954448 1.82969 1.82969 1 1 
0.953608 1.82969 1.82969 1 1 
0.952768 1.82969 1.82969 1 1 
0.951929 1.82968 1.82968 1 1 
0.951089 1.82968 1.82968 1 1 
0.950249 1.82968 1.82968 1 1 
0.94941 1.82968 1.82968 1 1 
0.94857 1.82968 1.82968 1 1 
0.94773 1.82968 1.82968 1 1 
0.946891 1.82968 1.82968 1 1 
0.946051 1.82968 1.82968 1 1 
0.945211 1.82968 1.82968 1 1 
0.944372 1.82967 1.82967 1 1 
0.943532 1.82967 1.82967 1 1 
0.942692 1.82967 1.82967 1 1 
0.941853 1.82967 1.82967 1 1 
0.941013 1.82967 1.82967 1 1 
0.940173 1.82967 1.82967 1 1 
0.939334 1.82967 1.82967 1 1 
0.938494 1.82967 1.82967 1 1 
0.937654 1.82966 1.82966 1 1 
0.936815 1.82966 1.82966 1 1 
0.935975 1.82966 1.82966 1 1 
0.935135 1.82966 1.82966 1 1 
0.934296 1.82966 1.82966 1 1 
0.933456 1.82966 1.82966 1 1 
0.932616 1.82966 1.82966 1 1 
0.931777 1.82966 1.82966 1 1 
0.930937 1.82965 1.82965 1 1 
0.930097 1.82965 1.82965 1 1 
0.929258 1.82965 1.82965 1 1 
0.928418 1.82965 1.82965 1 1 
0.927578 1.82965 1.82965 1 1 
0.926739 1.82965 1.82965 1 1 
0.925899 1.82965 1.82965 1 1 
0.925059 1.82965 1.82965 1 1 
0.92422 1.82964 1.82964 1 1 
0.92338 1.82964 1.82964 1 1 
0.92254 1.82964 1.82964 1 1 
0.921701 1.82964 1.82964 1 1 
0.920861 1.82964 1.82964 1 1 
0.920021 1.82964 1.82964 1 1 
0.919182 1.82964 1.82964 1 1 
0.918342 1.82963 1.82963 1 1 
0.917502 1.82963 1.82963 1 1 
0.916663 1.82963 1.82963 1 1 
0.915823 1.82963 1.82963 1 1 
0.914983 1.82963 1.82963 1 1 
0.914143 1.82963 1.82963 1 1 
0.913304 1.82963 1.82963 1 1 
0.912464 1.82963 1.82963 1 1 
0.911624 1.82962 1.82962 1 1 
0.910785 1.82962 1.82962 1 1 
0.909945 1.82962 1.82962 1 1 
0.909105 1.82962 1.82962 1 1 
0.908266 1.82962 1.82962 1 1 
0.907426 1.82962 1.82962 1 1 
0.906586 1.82962 1.82962 1 1 
0.905747 1.82962 1.82962 1 1 
0.904907 1.82961 1.82961 1 1 
0.904067 1.82961 1.82961 1 1 
0.903228 1.82961 1.82961 1 1 
0.902388 1.82961 1.82961 1 1 
0.901548 1.82961 1.82961 1 1 
0.900709 1.82961 1.82961 1 1 
0.899869 1.82961 1.82961 1 1 
0.899029 1.8296 1.8296 1 1 
0.89819 1.8296 1.8296 1 1 
0.89735 1.8296 1.8296 1 1 
0.89651 1.8296 1.8296 1 1 
0.895671 1.8296 1.8296 1 1 
0.894831 1.8296 1.8296 1 1 
0.893991 1.8296 1.8296 1 1 
0.893152 1.8296 1.8296 1 1 
0.892312 1.82959 1.82959 1 1 
0.891472 1.82959 1.82959 1 1 
0.890633 1.82959 1.82959 1 1 
0.889793 1.82959 1.82959 1 1 
0.888953 1.82959 1.82959 1 1 
0.888114 1.82959 1.82959 1 1 
0.887274 1.82959 1.82959 1 1 
0.886434 1.82958 1.82958 1 1 
0.885595 1.82958 1.82958 1 1 
