"Frame","Time (aligned)","Time [ smin]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
72.0,-61.0,4260.0,NA,254.465,-254.465,-304.4600006915403,-32.11407792505201
73.0,-60.0,4320.0,NA,256.008,-256.008,-306.9277864770176,-32.3743770278476
74.0,-59.0,4380.0,NA,253.853,-253.853,-304.95839439576633,-32.16664789883679
75.0,-58.0,4440.0,NA,255.553,-255.553,-307.61682062730983,-32.44705552862027
76.0,-57.0,4500.0,NA,253.336,-253.336,-305.5568557382098,-32.22977288780975
77.0,-56.0,4560.0,NA,253.31,-253.31,-306.1320168221751,-32.29044019329476
78.0,-55.0,4620.0,NA,252.8,-252.8,-306.11886232101335,-32.28905267219375
79.0,-54.0,4680.0,NA,255.027,-255.027,-309.4219630140486,-32.63745979565656
80.0,-53.0,4740.0,NA,254.557,-254.557,-309.4549008799892,-32.64093404249063
81.0,-52.0,4800.0,NA,252.215,-252.215,-307.2033960048006,-32.40344799228301
82.0,-51.0,4860.0,NA,252.572,-252.572,-308.232591522639,-32.512006308596824
83.0,-50.0,4920.0,NA,254.262,-254.262,-310.8913096952043,-32.79244473197126
84.0,-49.0,4980.0,NA,254.369,-254.369,-311.6166332605848,-32.8689509969867
85.0,-48.0,5040.0,NA,251.937,-251.937,-309.2240917855836,-32.616588574361096
86.0,-47.0,5100.0,NA,254.145,-254.145,-312.5240871067326,-32.964668146899285
87.0,-46.0,5160.0,NA,252.351,-252.351,-310.90176466063434,-32.793547509261415
88.0,-45.0,5220.0,NA,252.013,-252.013,-311.06636027402965,-32.81090885834732
89.0,-44.0,5280.0,NA,253.701,-253.701,-313.73284118205925,-33.092166085804536
90.0,-43.0,5340.0,NA,251.268,-251.268,-311.299540091378,-32.835504387506695
91.0,-42.0,5400.0,NA,254.01,-254.01,-315.2763793100173,-33.25497664748405
92.0,-41.0,5460.0,NA,253.375,-253.375,-315.0645747572922,-33.23263575575559
93.0,-40.0,5520.0,NA,251.401,-251.401,-313.1799239426631,-33.033845034527715
94.0,-39.0,5580.0,NA,251.168,-251.168,-313.4572118951936,-33.06309303720464
95.0,-38.0,5640.0,NA,251.107,-251.107,-313.9466161886296,-33.1147148186556
96.0,-37.0,5700.0,NA,251.065,-251.065,-314.4576816166455,-33.16862139075974
97.0,-36.0,5760.0,NA,252.67,-252.67,-317.0332546122645,-33.44028975998754
98.0,-35.0,5820.0,NA,250.517,-250.517,-314.89048541663266,-33.21427301963537
99.0,-34.0,5880.0,NA,250.324,-250.324,-315.20431409259305,-33.24737529425935
100.0,-33.0,5940.0,NA,252.505,-252.505,-318.5100481424505,-33.59606018106054
101.0,-32.0,6000.0,NA,249.934,-249.934,-315.8189527873585,-33.31220665107015
102.0,-31.0,6060.0,NA,252.117,-252.117,-319.1324092755654,-33.66170609146249
103.0,-30.0,6120.0,NA,252.12,-252.12,-319.68943328687254,-33.72046032014479
104.0,-29.0,6180.0,NA,249.779,-249.779,-317.2673756137121,-33.464984564123725
105.0,-28.0,6240.0,NA,251.885,-251.885,-320.49160022676546,-33.80507193269852
106.0,-27.0,6300.0,NA,251.523,-251.523,-320.57767816408546,-33.814151330913205
107.0,-26.0,6360.0,NA,251.728,-251.728,-321.38436098293704,-33.899239272996105
108.0,-25.0,6420.0,NA,251.562,-251.562,-321.71576062444313,-33.93419491211943
109.0,-24.0,6480.0,NA,249.665,-249.665,-319.8272947152191,-33.735001779261665
110.0,-23.0,6540.0,NA,251.48,-251.48,-322.6921395710364,-34.037182199461135
111.0,-22.0,6600.0,NA,249.585,-249.585,-320.7945894004593,-33.83703086954523
112.0,-21.0,6660.0,NA,249.417,-249.417,-321.1107182658512,-33.87037576540838
113.0,-20.0,6720.0,NA,251.199,-251.199,-323.93916936520833,-34.16871741556157
114.0,-19.0,6780.0,NA,250.974,-250.974,-324.1811366266534,-34.19423983384873
115.0,-18.0,6840.0,NA,250.884,-250.884,-324.59520382605774,-34.23791514843086
116.0,-17.0,6900.0,NA,250.913,-250.913,-325.16150726855943,-34.29764816045351
117.0,-16.0,6960.0,NA,248.27,-248.27,-322.258053442452,-33.991395312093736
118.0,-15.0,7020.0,NA,248.79,-248.79,-323.4542004312432,-34.11756347054018
119.0,-14.0,7080.0,NA,248.581,-248.581,-323.7016751556855,-34.14366680945882
120.0,-13.0,7140.0,NA,250.905,-250.905,-327.2504893554888,-34.51799150069956
121.0,-12.0,7200.0,256.575,250.672,5.902999999999992,7.711424427107766,0.8133918557537774
122.0,-11.0,7260.0,254.181,248.501,5.680000000000007,7.431866279385849,0.7839043955943703
123.0,-10.0,7320.0,256.163,250.409,5.754000000000019,7.540567970230869,0.7953701203610158
124.0,-9.0,7380.0,255.67,250.775,4.894999999999982,6.424931481490388,0.6776941134830499
125.0,-8.0,7440.0,254.0,247.902,6.098000000000013,8.016444856961163,0.8455650470787324
126.0,-7.0,7500.0,256.446,250.024,6.4220000000000255,8.455519343405589,0.891878100486573
127.0,-6.0,7560.0,255.963,250.532,5.430999999999983,7.161803917306388,0.7554185395845684
128.0,-5.0,7620.0,254.906,248.008,6.897999999999996,9.110359617822823,0.9609498719945924
129.0,-4.0,7680.0,255.006,248.2,6.806000000000012,9.002664800769084,0.9495903510751532
130.0,-3.0,7740.0,256.257,250.012,6.2450000000000045,8.273237841949344,0.8726512650114195
131.0,-2.0,7800.0,254.742,247.34,7.401999999999987,9.820943987052866,1.0359014641707254
132.0,-1.0,7860.0,256.462,249.553,6.908999999999992,9.180738448494681,0.9683733471549959
133.0,0.0,7920.0,254.451,247.661,6.789999999999992,9.036238303645602,0.9531316441354716
134.0,1.0,7980.0,254.481,247.621,6.859999999999985,9.143126612743231,0.9644060955571413
135.0,2.0,8040.0,254.208,247.447,6.760999999999996,9.024674270866651,0.951911883743474
136.0,3.0,8100.0,256.963,249.37,7.593000000000018,10.150355974531347,1.0706474479167083
137.0,4.0,8160.0,256.863,249.611,7.2520000000000095,9.708905209171466,1.0240837474416364
138.0,5.0,8220.0,256.493,249.598,6.894999999999982,9.244611678456813,0.9751106193078881
139.0,6.0,8280.0,254.681,247.153,7.52800000000002,10.10818825717975,1.0661996473587534
140.0,7.0,8340.0,254.282,247.523,6.7590000000000146,9.088932198359991,0.9586897333333587
141.0,8.0,8400.0,254.47,246.794,7.675999999999988,10.3371189185823,1.0903469806144073
142.0,9.0,8460.0,253.918,247.244,6.674000000000007,9.000825179873495,0.9493963100561054
143.0,10.0,8520.0,254.356,246.899,7.456999999999994,10.0713878143159,1.0623179805154184
144.0,11.0,8580.0,253.39,246.879,6.510999999999996,8.806420585871594,0.9288907452312196
145.0,12.0,8640.0,253.92,246.483,7.436999999999983,10.073342136266344,1.0625241200649969
146.0,13.0,8700.0,252.586,246.274,6.312000000000012,8.56178697520073,0.903087083606288
147.0,14.0,8760.0,251.727,246.394,5.332999999999998,7.244162926569635,0.7641056697011764
148.0,15.0,8820.0,249.952,246.21,3.7419999999999902,5.090227634215678,0.5369111427779009
149.0,16.0,8880.0,250.689,248.168,2.5209999999999866,3.434161254830455,0.36223123528319684
150.0,17.0,8940.0,248.145,246.013,2.132000000000005,2.9083528916295207,0.3067695959508547
151.0,18.0,9000.0,246.822,245.56,1.2620000000000005,1.7239671571156883,0.18184200058494554
152.0,19.0,9060.0,246.567,245.565,1.0020000000000095,1.3707074681111635,0.14458058971092866
153.0,20.0,9120.0,246.083,245.416,0.6670000000000016,0.9137092709995953,0.09637696466883962
154.0,21.0,9180.0,246.151,245.499,0.6520000000000152,0.8944018157815589,0.09434043730892983
155.0,22.0,9240.0,246.153,245.572,0.5809999999999889,0.7981083403663772,0.08418351631394427
156.0,23.0,9300.0,247.989,247.6,0.38900000000001,0.5350985112495933,0.056441553073694896
157.0,24.0,9360.0,NA,245.675,-245.675,-338.4085577048989,-35.69493124862083
158.0,25.0,9420.0,NA,247.349,-247.349,-341.1808058673649,-35.987344679990464
159.0,26.0,9480.0,NA,244.802,-244.802,-338.12813059610806,-35.665352131483765
160.0,27.0,9540.0,NA,244.901,-244.901,-338.7245563817012,-35.728262412346744
161.0,28.0,9600.0,NA,245.105,-245.105,-339.46575620534696,-35.80644328615785
162.0,29.0,9660.0,NA,246.925,-246.925,-342.447858233426,-36.12099185310479
163.0,30.0,9720.0,NA,245.145,-245.145,-340.4363766400074,-35.90882317252563
164.0,31.0,9780.0,NA,247.072,-247.072,-343.5721366927775,-36.23957940474068
165.0,32.0,9840.0,NA,245.138,-245.138,-341.33789579471033,-36.00391433825938
166.0,33.0,9900.0,NA,245.277,-245.277,-341.98586503332535,-36.07226136110197
167.0,34.0,9960.0,NA,246.906,-246.906,-344.71362973614634,-36.35998273017715
168.0,35.0,10020.0,NA,245.302,-245.302,-342.92679561151067,-36.17150959680214
169.0,36.0,10080.0,NA,246.79,-246.79,-345.46135334808633,-36.4388517254005
170.0,37.0,10140.0,NA,245.02,-245.02,-343.4338564067998,-36.22499376502019
171.0,38.0,10200.0,NA,244.003,-244.003,-342.45577536773027,-36.12182694299315
172.0,39.0,10260.0,NA,246.434,-246.434,-346.3186111623045,-36.52927425770402
173.0,40.0,10320.0,NA,243.89,-243.89,-343.1888836448944,-36.19915433012734
