"Frame","Time (aligned)","Time [ s]","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-4.33333333333333,0.0,150.741,126.457,24.284,24.2856512047615,1.00776600980126
2.0,-3.33333333333333,60.0,151.417,127.485,23.932,23.9352543292623,0.993225816578054
3.0,-2.33333333333333,120.0,151.504,127.068,24.436,24.4409839728059,1.01421175352555
4.0,-1.33333333333333,180.0,148.722,124.713,24.009,24.0155287515975,0.996556912524533
5.0,-0.333333333333333,240.0,150.516,126.709,23.807,23.8150917516634,0.988239507570596
6.0,0.666666666666667,300.0,156.203,132.397,23.806,23.8157090633419,0.988265123755304
7.0,1.66666666666667,360.0,153.118,129.475,23.643,23.6542489519143,0.981565117613261
8.0,2.66666666666667,420.0,154.953,131.186,23.767,23.7799225306976,0.986780113083632
9.0,3.66666666666667,480.0,152.931,128.662,24.269,24.2838439468178,1.00769101518361
10.0,4.66666666666667,540.0,152.758,128.522,24.236,24.2524697770298,1.0063891014885
11.0,5.66666666666667,600.0,152.394,128.349,24.045,24.0629728114263,0.998525668085559
12.0,6.66666666666667,660.0,154.46,130.332,24.128,24.1476731043044,1.00204042152837
13.0,7.66666666666667,720.0,151.916,127.817,24.099,24.1202855300548,1.00090393701795
14.0,8.66666666666667,780.0,152.122,127.942,24.18,24.2029984303829,1.00433622091348
15.0,9.66666666666667,840.0,154.79,129.937,24.853,24.8783253648525,1.03235982729421
16.0,10.6666666666667,900.0,154.19,129.6,24.59,24.6167261196577,1.02150441208321
17.0,11.6666666666667,960.0,154.111,129.708,24.403,24.4311787225888,1.01380487137926
18.0,12.6666666666667,1020.0,151.693,127.243,24.45,24.4798918152938,1.01582628717933
19.0,13.6666666666667,1080.0,151.701,126.984,24.717,24.748894958335,1.02698893716557
20.0,14.6666666666667,1140.0,153.388,129.098,24.29,24.3229914913801,1.00931549559982
21.0,15.6666666666667,1200.0,153.19,129.16,24.03,24.0642680394743,0.998579415328765
