"Frame","Time (aligned)","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","Intensity Ch3-T2","background","Intensity (bg-subst)","bleach-Corrected","Normalized"
1.0,-8.333333333333334,0.0,149.883,133.244,16.63900000000001,16.639166390831964,1.0031754306740246
2.0,-6.333333333333333,120.0,148.803,132.238,16.564999999999998,16.56533130331302,0.9987239128527062
3.0,-4.333333333333333,240.0,146.2,129.666,16.533999999999992,16.534496027440365,0.9968648539054655
4.0,-2.3333333333333335,360.0,148.369,131.593,16.77600000000001,16.776671053420987,1.0114655875167637
5.0,-0.3333333333333333,480.0,148.333,131.917,16.415999999999997,16.41682082052034,0.9897702150510398
6.0,1.6666666666666667,600.0,152.152,134.914,17.238,17.23903431102902,1.0393414707902402
7.0,3.6666666666666665,720.0,154.128,136.975,17.15299999999999,17.154200752025822,1.0342268550643265
8.0,5.666666666666667,840.0,153.315,136.375,16.939999999999998,16.941355254209444,1.0213943988628775
9.0,7.666666666666667,960.0,150.832,133.885,16.947000000000003,16.94852529863741,1.0218266808797782
10.0,9.666666666666666,1080.0,150.673,133.445,17.22800000000001,17.22972288614288,1.038780084934066
11.0,11.666666666666666,1200.0,150.474,133.435,17.038999999999987,17.040874393089716,1.0273944082781048
12.0,13.666666666666666,1320.0,149.938,133.268,16.669999999999987,16.67200052002879,1.0051550004988676
13.0,15.666666666666666,1440.0,152.089,134.846,17.242999999999995,17.24524173570966,1.0397157164574273
14.0,17.666666666666668,1560.0,148.839,132.205,16.633999999999986,16.636328923020795,1.003004359724517
15.0,19.666666666666668,1680.0,149.828,133.42,16.408000000000015,16.410461384599245,0.9893868046253527
16.0,21.666666666666668,1800.0,149.628,133.23,16.397999999999996,16.400623889905592,0.9887937020176706
17.0,23.666666666666668,1920.0,148.819,132.561,16.25799999999998,16.260764094941393,0.9803615542314391
18.0,25.666666666666668,2040.0,148.802,132.168,16.633999999999986,16.636994389486954,1.0030444807013201
19.0,27.666666666666668,2160.0,146.381,130.029,16.352000000000004,16.355107175172297,0.9860494990430192
20.0,29.666666666666668,2280.0,148.442,131.923,16.519000000000005,16.52230413040203,0.9961298043678335
21.0,31.666666666666668,2400.0,148.166,131.701,16.465000000000003,16.468458013078667,0.992883421666489
22.0,33.666666666666664,2520.0,145.858,129.446,16.412000000000006,16.415611037199533,0.9896972772081596
23.0,35.666666666666664,2640.0,145.497,129.16,16.337000000000018,16.340757942146798,0.9851843837071855
24.0,37.666666666666664,2760.0,147.258,131.042,16.216000000000008,16.219892307058174,0.9778973939214156
25.0,39.666666666666664,2880.0,147.12,130.889,16.230999999999995,16.235058257261016,0.9788117491402383
26.0,41.666666666666664,3000.0,146.753,130.507,16.24599999999998,16.250224509162372,0.979726122548466
27.0,43.666666666666664,3120.0,144.418,128.258,16.159999999999997,16.164363789085012,0.9745495792758988
28.0,45.666666666666664,3240.0,144.487,128.229,16.25799999999998,16.262552877373068,0.9804693999338095
29.0,47.666666666666664,3360.0,146.549,130.058,16.491000000000014,16.4957830835136,0.9945308503091201
30.0,49.666666666666664,3480.0,144.185,127.832,16.35300000000001,16.357906635958603,0.9862182785487945
31.0,51.666666666666664,3600.0,143.944,127.917,16.026999999999987,16.03196914017692,0.9665675051853067
32.0,53.666666666666664,3720.0,146.145,129.74,16.405,16.410250440025603,0.9893740867758799
33.0,55.666666666666664,3840.0,146.069,129.571,16.49799999999999,16.503445238414912,0.9949928016690903
34.0,57.666666666666664,3960.0,146.19,129.59,16.599999999999994,16.605644959588744,1.0011544234051295
35.0,59.666666666666664,4080.0,146.081,129.63,16.450999999999993,16.45675885774131,0.9921780795286436
36.0,61.666666666666664,4200.0,144.108,127.678,16.430000000000007,16.435915864791777,0.9909214553722673
37.0,63.666666666666664,4320.0,146.144,129.608,16.536,16.542119452028814,0.9973244702146661
38.0,65.66666666666667,4440.0,146.21,129.674,16.536,16.54228487405044,0.9973344435092345
39.0,67.66666666666667,4560.0,146.172,129.81,16.361999999999995,16.368382424491873,0.9868498638954801
40.0,69.66666666666667,4680.0,146.069,129.742,16.326999999999998,16.33353210633417,0.9847487380274053
41.0,71.66666666666667,4800.0,145.783,129.633,16.149999999999977,16.156622857593007,0.9740828784748545
42.0,73.66666666666667,4920.0,144.206,127.781,16.424999999999983,16.43189994888782,0.9906793357809444
43.0,75.66666666666667,5040.0,143.976,127.881,16.095,16.10192233819605,0.9707849838679247
44.0,77.66666666666667,5160.0,143.79,127.715,16.07499999999999,16.082074556288234,0.9695883609905749
45.0,79.66666666666667,5280.0,145.959,129.867,16.092000000000013,16.099243029559435,0.9706234483358966
46.0,81.66666666666667,5400.0,145.91,129.783,16.12700000000001,16.134420126498263,0.9727442756984329
47.0,83.66666666666667,5520.0,145.433,129.565,15.867999999999995,15.875459712895204,0.9571315509776254
48.0,85.66666666666667,5640.0,145.227,129.478,15.748999999999995,15.756561334575116,0.9499631671129495
49.0,87.66666666666667,5760.0,145.01,129.201,15.808999999999997,15.816748308180472,0.9535918400734402
50.0,89.66666666666667,5880.0,145.188,129.145,16.042999999999978,16.05102350570925,0.9677162929851358
51.0,91.66666666666667,6000.0,144.935,128.892,16.043000000000006,16.051184016746888,0.9677259701964532
52.0,93.66666666666667,6120.0,144.392,128.753,15.63900000000001,15.647134394759352,0.9433658163263436
53.0,95.66666666666667,6240.0,144.32,128.445,15.875,15.883415980037705,0.9576112343661894
54.0,97.66666666666667,6360.0,142.227,126.406,15.820999999999998,15.82954564711706,0.9543633917063554
55.0,99.66666666666667,6480.0,142.317,126.273,16.04400000000001,16.052826627099957,0.967825003183423
56.0,101.66666666666667,6600.0,142.078,126.092,15.986000000000004,15.99495466707277,0.9643359024039385
57.0,103.66666666666667,6720.0,141.704,125.936,15.768,15.776990321998358,0.951194830873932
58.0,105.66666666666667,6840.0,141.822,125.918,15.903999999999996,15.91322699557005,0.9594085406520361
59.0,107.66666666666667,6960.0,141.73,125.766,15.963999999999984,15.973421539080709,0.9630376700021581
60.0,109.66666666666667,7080.0,144.213,127.831,16.38199999999999,16.39183214934983,0.9882636479325537
61.0,111.66666666666667,7200.0,144.479,128.025,16.454000000000008,16.464040001889263,0.9926170597482564
62.0,113.66666666666667,7320.0,144.115,128.138,15.977000000000004,15.98690881141413,0.9638508177232574
63.0,115.66666666666667,7440.0,142.552,126.158,16.39399999999999,16.40433147407261,0.9890172322869247
64.0,117.66666666666667,7560.0,142.81,126.255,16.555000000000007,16.56559859118742,0.9987400276400831
65.0,119.66666666666667,7680.0,144.332,128.191,16.14099999999999,16.151495060525146,0.9737737235622146
66.0,121.66666666666667,7800.0,142.889,126.326,16.563000000000017,16.57393518821518,0.9992426411194631
67.0,123.66666666666667,7920.0,142.409,126.099,16.309999999999988,16.320931361597196,0.983989039059836
68.0,125.66666666666667,8040.0,142.782,126.288,16.494000000000014,16.505219734277333,0.995099786034124
69.0,127.66666666666667,8160.0,142.634,126.352,16.281999999999982,16.2932384568217,0.9823194336828455
70.0,129.66666666666666,8280.0,144.667,128.169,16.49799999999999,16.50955264295329,0.9953610171213659
71.0,131.66666666666666,8400.0,142.912,126.221,16.691000000000003,16.70285481796238,1.0070152062862638
72.0,133.66666666666666,8520.0,142.735,126.112,16.62300000000002,16.634972869715888,1.0029226032635135
73.0,135.66666666666666,8640.0,142.898,126.246,16.652,16.66416039800525,1.0046823195001469
74.0,137.66666666666666,8760.0,144.782,128.103,16.679000000000002,16.691347027836866,1.0063214015580637
75.0,139.66666666666666,8880.0,145.176,128.155,17.020999999999987,17.03377053835325,1.0269661168380584
76.0,141.66666666666666,9000.0,144.81,128.197,16.613,16.625630679050083,1.0023593625383187
77.0,143.66666666666666,9120.0,144.921,127.882,17.038999999999987,17.052125082508265,1.0280727124033073
78.0,145.66666666666666,9240.0,144.985,127.903,17.082000000000008,17.09532915769572,1.0306774863273742
79.0,147.66666666666666,9360.0,143.104,125.988,17.116000000000014,17.129526982454568,1.0327392733649432
80.0,149.66666666666666,9480.0,145.222,127.96,17.262000000000015,17.275815125313333,1.041558986280111
81.0,151.66666666666666,9600.0,144.948,128.024,16.924000000000007,16.93771399341753,1.021174867230263
82.0,153.66666666666666,9720.0,143.478,126.142,17.336000000000013,17.350221349956627,1.0460449379617103
83.0,155.66666666666666,9840.0,145.713,128.173,17.539999999999992,17.55456424332486,1.0583647720955167
84.0,157.66666666666666,9960.0,145.945,128.338,17.607,17.621796093489255,1.0624181807014212
85.0,159.66666666666666,10080.0,144.126,126.428,17.698000000000008,17.71304969521436,1.067919860837367
86.0,161.66666666666666,10200.0,146.199,128.586,17.613,17.628153695154943,1.06280148053984
87.0,163.66666666666666,10320.0,146.23,128.515,17.715000000000003,17.730418756186406,1.0689670416162453
88.0,165.66666666666666,10440.0,146.272,128.603,17.668999999999983,17.684555563444047,1.0662019494805748
89.0,167.66666666666666,10560.0,144.648,126.636,18.012,18.028037815769387,1.0869104963098928
90.0,169.66666666666666,10680.0,146.6,128.583,18.016999999999996,18.033222599074552,1.0872230869230846
91.0,171.66666666666666,10800.0,144.771,126.776,17.99499999999999,18.01138290309034,1.085906371535418
92.0,173.66666666666666,10920.0,144.416,126.53,17.885999999999996,17.902462691676998,1.0793395714069038
93.0,175.66666666666666,11040.0,146.763,128.797,17.966000000000008,17.982716151805782,1.084178052947189
94.0,177.66666666666666,11160.0,146.693,128.81,17.88300000000001,17.899817923185548,1.0791801183004126
